Gene	mean_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENSG00000265194.1	0.471222301042816	0.745202974247857	-0.00205668800308498	0.337485359163494	0.57860252780428	0.67982715597576
ENSG00000122687.19	0.470388039589564	0.820851563975045	-0.142604704999767	0.646392023861231	0.238572879527792	0.381718852304007
ENSG00000258477.1	0.435904200528331	0.578746503057775	0.028074476004982	0.39655367950348	0.508656524859884	0.621892652628241
ENSG00000210100.1	0.426638298623766	0.57565198139694	-0.120386467126945	0.817930630203725	0.0906687909990484	0.232270626821565
ENSG00000206228.4	0.420770104633826	0.570632121501198	0.114486049777646	-0.797475348894492	0.106022124596399	0.248147910929617
ENSG00000233225.3	0.418753818607461	0.588287099002657	0.138054383923469	-0.941327932780864	0.0169091371330733	0.136111229968596
ENSG00000230499.1	0.418222310192839	0.575010071120417	0.159252729682816	-0.591189086398516	0.293768487645587	0.432657097724781
ENSG00000257851.2	0.416385774761212	0.513032433203524	0.118671508820526	-0.646885067822825	0.238094024032819	0.38131339418758
ENSG00000236617.2	0.406803779755428	0.531878693309271	0.251526619555714	-0.819370031216881	0.0896162850362799	0.231107806288351
ENSG00000214894.7	0.406763119455697	0.536761509360746	0.276821592842708	-0.787959938099424	0.113407335621043	0.256215126776144
ENSG00000288871.2	0.40641416680259	0.535406675820376	0.227405739902191	-0.640753073604114	0.244068120197196	0.38676989526093
ENSG00000255946.3	0.398825580746449	0.534433245135584	-0.111250186577516	0.513560797984044	0.376117710934693	0.505951681882662
ENSG00000282907.1	0.397431666770093	0.451191147620878	0.314801430866123	-0.726767938658461	0.164239605575601	0.309642232644423
ENSG00000225356.3	0.394756061012585	0.497978465659758	0.259433718529016	-0.845170090353403	0.0714107611508706	0.209879576351436
ENSG00000213493.3	0.392654940705541	0.531544826455328	0.202251121470242	-0.896114225102501	0.0395623474102548	0.170474566881159
ENSG00000251333.3	0.38721945926617	0.564019444491828	0.0461409156765329	-0.324244369818368	0.5945118050906	0.692614535890536
ENSG00000280087.1	0.385991478713904	0.538840619754753	-0.13695342993741	0.802542154772145	0.102151477263652	0.244486269985635
ENSG00000220157.4	0.385759572322948	0.54173194426087	0.11772526624966	-0.559671272960439	0.326585583973159	0.46225134873884
ENSG00000233680.4	0.376508735205743	0.508811346901166	0.0839778368148385	-0.70590017413551	0.182777367633498	0.328605620145276
ENSG00000172350.10	0.370996392031978	0.488841248245671	0.111774292233893	-0.765690847758401	0.131259885929757	0.275775579150377
ENSG00000234630.1	0.369741284391254	0.466138179648583	0.146186422193276	-0.991175432774869	0.000993798362888018	0.0985656368217184
ENSG00000186076.5	0.369020712343608	0.517350918643832	0.247319965655642	-0.612016516188299	0.272586726641003	0.413688395526762
ENSG00000225756.1	0.368936348419206	0.476822058197329	0.087922409350501	-0.856835860904587	0.063610960218772	0.201182851554087
ENSG00000239345.2	0.368569938785201	0.495109668989758	0.280664949186147	-0.481694098885687	0.411308546320857	0.538422846798573
ENSG00000132915.12	0.364577676281408	0.481380600309842	-0.0835788798742542	0.463621057666008	0.43158671819469	0.556733167594361
