Gene	mean_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENST00000664924.1	0.262219397958833	0.276074746589136	0.485721225863948	-0.907381767404127	0.000287514303237101	0.000644177616113506
ENST00000667630.1	0.227574003909654	0.242316409489721	0.426371250158698	-0.858697580164575	0.00146544265864519	0.00247031762457331
ENST00000671092.1	0.131183161229358	0.140122443992035	0.338697651832042	-0.634008269331644	0.0490054922730751	0.0552482301422567
ENST00000670009.1	0.126222195803807	0.146046156879181	0.289192808805949	-0.963927396007447	7.09191259984814e-06	6.63644108710377e-05
ENST00000666076.1	0.119489429711707	0.132140841384276	0.285587074523102	-0.801149624178128	0.00533956596562886	0.0077467473435763
ENST00000656693.1	0.103991990505989	0.113800580622401	0.29579736683058	-0.850375247982262	0.00182307429126816	0.00296040504178407
ENST00000521122.2	0.103295508616226	0.122891534970517	0.26679674730796	-0.879031456080292	0.000807586857355691	0.00154429188345175
ENST00000658242.1	0.0940856175940979	0.107968155098219	0.2228214202523	-0.928963465892223	0.000102186743988321	0.000337827326843565
ENST00000668619.1	0.089193219882371	0.111006641494601	0.215515515138819	-0.971006838907006	2.98517384475681e-06	4.06442900401504e-05
ENST00000652492.1	0.0863289905999685	0.0976616818652786	0.190079457976737	-0.926814308249982	0.000114821145461919	0.000362916834763566
ENST00000670204.1	0.0767137987468981	0.0961045074064583	0.209519716806715	-0.915586653744286	0.000200418042518537	0.000506771336082585
ENST00000665175.1	0.0756841512518864	0.100765135866797	0.16290791606118	-0.962593561984065	8.187177566603e-06	6.67518783224443e-05
ENST00000517838.6	0.0679354043546792	0.0866827250817455	0.185308842824248	-0.946926387972274	3.25507428708924e-05	0.000144037037203699
ENST00000670626.1	0.061303031610481	0.0788940075058705	0.0954303999238605	-0.740411677590219	0.0143224176314836	0.0187439120583081
ENST00000659326.1	0.060247535699517	0.0836050891848953	0.152074486780701	-0.986386004481386	1.4784537064224e-07	5.97466534092616e-06
ENST00000656999.1	0.0594769948189739	0.0721033077288321	0.152937691285768	-0.935627509350934	6.94752126503505e-05	0.000256189846648167
ENST00000521951.1	0.0590140135305231	0.0689572334136338	0.185788248572852	-0.893753829120347	0.000489504747908381	0.00103145643309266
