A2M
AADAT
AC008440.10
ACTR6
AEN
AHCYL1
ALDH1L2
ANK1
ANK3
ANKRD50
ANXA2P2
AP3S1
AREG
ARID5B
ARPC1A
ASAP3
ATAD5
ATF4
BAG2
BEST1
BICC1
BOLA2
BOLA2
BOLA3
BRIP1
BTBD3
C1orf174
CARS2
CASC4
CASP2
CBS
CCDC102B
CCDC58
CDC25A
CENPO
CFI
CHEK1
CIITA
CLIC1
CLIC1
CLIC1
CLIC1
CLIC1
CMTM4
CPA4
CTD-2116N24.1
CTPS2
DAG1
DCTPP1
DDX39A
DGCR8
DHCR24
DHX15
DOCK10
DPP9
DUSP4
DUXAP10
EDA2R
ENO1
ENPP2
EPHA2
FAM13B
FANCD2
FERMT1
FKBP9
FLJ46906
FOSB
FSTL1
GCC2
GINS1
GLA
GLDC
GMNN
GPBP1L1
GPI
GPR110
HEATR6
HELLS
HEY2
HIST1H2AB
HIVEP3
HLA-DOA
HLA-DOA
HLA-DOA
HLA-DOA
HLA-DOA
HLA-DOA
HLA-DPB1
HLA-DPB1
HLA-DQA1
HLA-DQA1
HLA-DQA1
HLA-DQA1
HLA-DQA1
HLA-DQA2
HLA-DQA2
HLA-DQA2
HLA-DQA2
HLA-DQA2
HLA-DQB2
HLA-DQB2
HNRNPK
HSPH1
IFITM1
INPPL1
ISG20L2
ITGA2
ITGA6
ITIH6
KAT2B
KLF9
KRT80
LINC00277
LINC01296
LMNA
M6PR
MCM10
MCM4
MEGF10
MFN1
MIR205HG
MIR614
MOSPD2
MRPL22
MRPS12
MRPS25
MTA2
MTAP
MUC5B
MYOF
NCLN
NCOA5
NF2
NFATC2
NHP2
NIPAL3
NME1
NOP56
NRP1
NUP214
ORC6
OSGEP
PANX3
PDE5A
PDP1
PFN2
PGAM5
PHF21A
PKI55
PKM
PLA2G7
PODXL
POLR2A
POLR2G
PPM1G
PPRC1
PRMT7
PROS1
PROSP
PSMA7
PTHLH
PURB
RANBP6
RBM18
RBM8A
RBMS3
RDH10
RLBP1
RNF167
RNU6-711P
RP11-317N8.3
RP11-492D6.3
RP11-613M10.9
RP6-99M1.2
RPS2
RPS6
RQCD1
RRS1
RYR1
SEC61B
SELM
SEMA7A
SERPINA3
SESTD1
SH2D1B
SHCBP1
SKAP2
SKP2
SLC25A13
SLC35B1
SLC37A2
SMIM15
SNORD12C
SNORD75
SNRPB2
SPC24
SPIN4
SRPX
SRSF10
STC1
STIP1
SYF2
TAF1A
TATDN3
TBC1D23
TEX261
TFB2M
TFDP1
TFPI2
TFRC
TGS1
THBS1
TICRR
TLR4
TMEM14A
TMX4
TOB1
TOB2
TOMM22
TP53I11
TPM4
TRAPPC4
TRMT10C
TRMT6
TRPS1
TTC19
TXN
U2AF2
UBE4A
UBR1
UCN2
UFD1L
UHRF1
VWF
WDR1
WDR62
YKT6
ZCCHC7
ZDHHC12
ZFP36
ZMIZ1
ZNF277
ZNF35
