Gene	RMSE	R_squared
ENSG00000116863.11	0.212063137349028	0.471457800458213
ENSG00000105393.16	0.263320692686709	0.427047456100746
ENSG00000148308.18	0.192631954051651	0.392952377653142
ENSG00000169564.7	0.248181624490527	0.38845459095842
ENSG00000125970.12	0.227655642638601	0.365690731134048
ENSG00000130560.9	0.211704512126563	0.365285973809456
ENSG00000165264.11	0.259573401497019	0.359948036962403
ENSG00000141985.9	0.251393300374438	0.359234263690304
ENSG00000181817.6	0.269228943839394	0.3550230768631
ENSG00000105364.14	0.260551102934009	0.353814206845416
ENSG00000203950.7	0.325087611031446	0.352825227166696
ENSG00000130706.13	0.238332811750368	0.346095709078771
ENSG00000183258.12	0.205050636097721	0.345326834781954
ENSG00000148335.15	0.258586061885101	0.335953837972673
ENSG00000104904.12	0.242478092763811	0.324516126363512
ENSG00000165915.14	0.263368205891194	0.323790843112887
ENSG00000187713.7	0.199040670501112	0.323433892531391
ENSG00000261221.5	0.331425866365137	0.321776731585194
ENSG00000063244.14	0.217081956594369	0.317822791115102
ENSG00000040487.13	0.267842356607673	0.31527961179733
ENSG00000004142.12	0.178497425252186	0.312237682761603
ENSG00000099917.17	0.175274984749744	0.311563662308738
ENSG00000179943.8	0.199345311959923	0.310947307344477
ENSG00000171169.9	0.166213785354882	0.310249629333076
ENSG00000187778.14	0.209704573651	0.308205493158646
ENSG00000161203.14	0.200703226033488	0.304146474327431
ENSG00000130479.11	0.27122411273972	0.303568190362353
ENSG00000130511.16	0.352311981921586	0.302203833568052
ENSG00000090674.16	0.236806433599761	0.300169827757206
ENSG00000179262.10	0.19177767764845	0.29969180770987
ENSG00000173465.8	0.285449419785938	0.298934573133336
ENSG00000183751.16	0.257644643106347	0.29765512801015
ENSG00000170892.13	0.238072591025655	0.295768720381234
ENSG00000126088.14	0.233807414986011	0.295451038959424
ENSG00000188566.15	0.247497963890157	0.294281679885178
ENSG00000178952.11	0.237427365370299	0.293624281260168
ENSG00000186395.9	0.312477386338401	0.292375116085552
ENSG00000173812.11	0.213332282819806	0.292162737810577
ENSG00000105197.11	0.19171115123053	0.290843775880473
ENSG00000167118.11	0.216198996531852	0.286489381162282
ENSG00000105698.16	0.226669537673693	0.286246346596206
ENSG00000175203.17	0.16789406114719	0.284849596221268
ENSG00000138668.20	0.207928954465095	0.281774217317597
ENSG00000175334.8	0.321856567774015	0.279461452918548
ENSG00000102858.13	0.190136813318827	0.277909491414593
ENSG00000185825.17	0.255190676891536	0.277802403339384
ENSG00000170043.12	0.305315160779142	0.277464602570566
ENSG00000156603.20	0.216900470254688	0.27644816426219
ENSG00000197858.12	0.369618700502558	0.275285858200402
ENSG00000130299.17	0.27693341696892	0.275257650411856
ENSG00000198746.13	0.214820856354341	0.274417428816078
ENSG00000113141.19	0.167881681656784	0.273563414182482
ENSG00000198055.11	0.227448746331962	0.272868696926651
ENSG00000279425.1	0.566438987246296	0.271965109962314
ENSG00000129084.18	0.23624392681934	0.270438025736438
ENSG00000172531.16	0.225461324964598	0.269403890088248
ENSG00000115317.13	0.225829460980662	0.268127076162534
ENSG00000167770.13	0.241362016111608	0.265695743080852
ENSG00000165283.16	0.206797851564026	0.262764465107126
ENSG00000064490.14	0.283100165245309	0.262236227816418
ENSG00000159210.10	0.206230214799165	0.26205194512312
ENSG00000087191.14	0.237637695484417	0.261820614513669
ENSG00000169957.10	0.289139900346097	0.258984906345092
ENSG00000054116.12	0.174794503138449	0.258702452215033
ENSG00000142507.10	0.274186117810768	0.258016468368149
ENSG00000138085.18	0.203452584582735	0.257881014610766
ENSG00000165916.9	0.25955244228619	0.257809849731654
ENSG00000167543.16	0.378890331912856	0.255420920162783
ENSG00000254858.10	0.31633115062319	0.254379277770783
ENSG00000136908.18	0.296558996330982	0.254313816249499
ENSG00000213676.13	0.228401375590015	0.254090871375924
ENSG00000184967.7	0.323736342614392	0.253819326789166
ENSG00000140365.16	0.314247187687544	0.252873470918932
ENSG00000155876.6	0.194859343349976	0.251542890532051
ENSG00000289443.1	0.512461233144235	0.249422338084813
ENSG00000090266.13	0.303610017287195	0.249345163943854
ENSG00000175213.3	0.292182393180694	0.24902681885219
ENSG00000127666.11	0.263065967970883	0.247321840666642
ENSG00000167962.15	0.292939729513516	0.246820049556605
ENSG00000167930.17	0.249922855081747	0.246163018862319
ENSG00000162517.13	0.213094260270853	0.244248223014725
ENSG00000269335.7	0.258782712217716	0.243186370238408
ENSG00000240972.2	1.11462369195665	0.242846245784326
ENSG00000065978.19	0.232156995910269	0.242600042181801
ENSG00000156709.15	0.21178529674026	0.242474637284001
ENSG00000128524.5	0.291012446435796	0.242155317270261
ENSG00000175826.12	0.246597680418969	0.241969366619885
ENSG00000204356.14	0.233868161311871	0.241900511438423
ENSG00000130311.11	0.198152929068603	0.241784406214272
ENSG00000172336.5	0.301697268214661	0.24093512694697
ENSG00000106245.11	0.221361198704196	0.240235276532447
ENSG00000141456.16	0.260064102723549	0.238674131184525
ENSG00000135404.12	0.284381813890196	0.238165140167966
ENSG00000158526.8	0.21154678451024	0.237644045856862
ENSG00000056050.7	0.22216653289095	0.236931407309754
ENSG00000079313.15	0.267891123636962	0.236771768339412
ENSG00000130305.17	0.328026557178519	0.235475426510115
ENSG00000137312.15	0.26158381290678	0.234290444018686
ENSG00000116221.15	0.22798275606719	0.234084514157618
ENSG00000131165.16	0.333964005456472	0.233550210963089
ENSG00000124733.5	0.234198809230398	0.231761581600238
ENSG00000127125.9	0.190052190538019	0.230423697434555
ENSG00000125898.13	0.354958263506889	0.230081415773203
ENSG00000198937.9	0.344956907139654	0.228270042626811
ENSG00000132005.9	0.295957907192505	0.228190973956645
ENSG00000111361.13	0.179433567303603	0.227642620766926
ENSG00000088247.19	0.210521751474355	0.227479830094777
ENSG00000198830.12	0.19669841147601	0.227009479308027
ENSG00000092841.19	0.307336336862401	0.225329378791852
ENSG00000104853.16	0.259565052113015	0.225276732426509
ENSG00000011451.21	0.240080293004481	0.224631089602802
ENSG00000133265.11	0.354761943635909	0.224619743825888
ENSG00000068971.14	0.279408505689583	0.224419990431865
ENSG00000105656.13	0.199297153855563	0.224309840555323
ENSG00000230079.1	0.328832020003045	0.224216092225934
ENSG00000114125.14	0.222237595360701	0.22415321908448
ENSG00000225973.4	0.276073976117801	0.222952765109383
ENSG00000273142.1	0.54269994594079	0.221419472878872
ENSG00000126267.11	0.285259220934405	0.22094278897871
ENSG00000072506.14	0.296522639110643	0.22060965668051
ENSG00000105341.19	0.203589353736123	0.220060772873428
ENSG00000145912.10	0.274625958776205	0.219983940761868
ENSG00000126903.16	0.239595869783202	0.219431390078567
ENSG00000111481.10	0.16713597042767	0.219061949317968
ENSG00000105723.13	0.240281006537412	0.21897243729944
ENSG00000112651.12	0.265553635761438	0.218436151530827
ENSG00000290796.1	0.605698063745451	0.218423128190407
ENSG00000071462.13	0.249113400604371	0.217279357910288
ENSG00000135486.19	0.256921878305019	0.217160206401301
ENSG00000231731.7	0.626659379746723	0.217025998450049
ENSG00000103148.17	0.252077401394903	0.21672439599264
ENSG00000102977.18	0.319636331669942	0.216645586763225
ENSG00000100804.19	0.253997393165785	0.215199499901258
ENSG00000168061.17	0.419240979101607	0.214602488983076
ENSG00000108826.16	0.272866865001099	0.213326519569384
ENSG00000104825.17	0.329811668870061	0.212752956792102
ENSG00000149547.15	0.188765032508738	0.211984465671165
ENSG00000175707.10	0.223230163700955	0.211411382797137
ENSG00000156860.16	0.231110163631834	0.209746914287827
ENSG00000286808.1	0.526557135514652	0.20909023988754
ENSG00000004059.11	0.311614972136329	0.209052786925014
ENSG00000068354.16	0.208618550789395	0.209014981867711
ENSG00000127452.9	0.219743436999729	0.208545294426086
ENSG00000102178.13	0.203289879890856	0.207661286145741
ENSG00000238085.1	1.19456200584289	0.205643864517696
ENSG00000101365.21	0.220477258271667	0.205408353473183
ENSG00000129351.18	0.191546596486313	0.205246569146705
ENSG00000188807.13	0.252963797917161	0.204938877155056
ENSG00000127922.10	0.373960211085675	0.204859106508671
ENSG00000175416.16	0.371949262819294	0.204421328182835
ENSG00000049656.14	0.204182767730649	0.204341420173215
ENSG00000126254.12	0.307692390315964	0.20284096915667
ENSG00000254999.4	0.205113806040601	0.202386745268204
ENSG00000007080.11	0.390642220896924	0.202082278923281
ENSG00000105229.7	0.220881765047271	0.201995123434757
ENSG00000148362.11	0.431725728357462	0.201792145850415
ENSG00000248333.9	0.198361467621936	0.201768993409766
ENSG00000133398.4	0.231529314732635	0.200694756575694
ENSG00000127220.6	0.376759676011908	0.199657883219232
ENSG00000198258.11	0.284404174306366	0.199218683063004
ENSG00000136925.15	0.629500164679701	0.199086698350532
ENSG00000123992.20	0.219729029805647	0.198537760968655
ENSG00000008018.9	0.243893756937039	0.197979457119035
ENSG00000138107.13	0.201610199374634	0.196932135816613
ENSG00000128626.12	0.346094542880727	0.196914760464807
ENSG00000103415.12	0.248246408512944	0.196409257695295
ENSG00000100462.16	0.256416336590145	0.196322588716425
ENSG00000227057.10	0.234507762754322	0.196179982107823
ENSG00000204435.15	0.292071049476204	0.196042087686359
ENSG00000148450.13	0.313896562761032	0.193343231012438
ENSG00000120053.12	0.267905392163168	0.193144099949584
ENSG00000170855.4	0.250180002988376	0.193029700542493
ENSG00000125877.13	0.352410383743549	0.192136143068753
ENSG00000007376.8	0.376145258561965	0.192011134849882
ENSG00000137133.11	0.424918455756999	0.191943994777227
ENSG00000187630.18	0.391091761299061	0.191881332823564
ENSG00000160214.13	0.32537931091435	0.191759126615133
ENSG00000171224.9	0.309119309479558	0.191522988041133
