Gene	mean_raw_r_sq	best_raw_r_sq	mean_rmse	min_rmse	cor_value_R2_RMSE	cor_pvalue	cor_padj_BH
ENSG00000287362.1	-0.0101618444307273	-0.0451406012505129	6.59661924907391	6.10840778710319	0.428930175837612	0.471110987791589	0.947763029485984
ENSG00000283288.2	-0.000383952999442538	-0.00191976499721269	6.91613354940657	6.10894197039887	NA	NA	NA
ENSG00000248713.2	0.0154643239123711	0.0265885273701981	6.96394494522469	6.10973063020357	-0.56869602135112	0.317098392158822	0.917386076895248
ENSG00000133519.14	0.0131746848396889	0	6.68648141570437	6.11110116647921	0.654135941943001	0.231082315827485	0.896029222123926
ENSG00000273703.2	-0.0119823297249514	-0.000971443525362714	6.82757751093811	6.11138868491782	-0.466000888189816	0.42890384358767	0.93902259989258
ENSG00000262412.1	-0.00409539278406936	-0.013053911623141	6.62753725806176	6.11167907974083	0.120219731444168	0.84730099838723	0.989731811892742
ENSG00000285844.2	0	0	6.63799931679906	6.11260584207988	NA	NA	NA
ENSG00000178395.7	-0.00478394393189707	0	7.41265968851087	6.11502013019806	0.444607449306479	0.453154944057499	0.941949675944983
ENSG00000128322.7	-0.00327814494802203	0	6.81664534023419	6.11748959578096	-0.0201703268584298	0.974320083716436	0.998218342546122
ENSG00000171815.6	-0.0154017548481567	0	7.24624788067035	6.11833671318223	NA	NA	NA
ENSG00000290965.1	0.0422247162711971	0.0345022621135906	6.7992595288569	6.11864444401495	0.18231840740372	0.76915751146989	0.98273160892516
ENSG00000252355.1	0.0384467677726326	0.111331055859621	6.97565005246018	6.1188250905683	-0.801736680039314	0.10276387811033	0.817804885752863
ENSG00000261451.1	-0.00183361666547985	-0.0087811511662943	6.63046502891498	6.1195369864754	0.528832184792897	0.359523677516728	0.924924062652221
ENSG00000260777.2	-0.00353900152491424	0	7.32319703697578	6.11993516059664	NA	NA	NA
ENSG00000236806.1	-0.00655673912420536	-0.00192896822641608	6.78877266309749	6.12020962152586	-0.036771370968364	0.953191789381443	0.996986389668949
ENSG00000239571.1	-0.0181364905976048	-0.0906824529880241	7.03527229003281	6.12161647378047	NA	NA	NA
ENSG00000253525.1	0.00317425392628312	0.00166948631627095	7.03156094445887	6.12173749792667	0.331714170145694	0.585527079310047	0.960810600109882
ENSG00000162009.9	-0.00202064571818368	0	6.8782043393529	6.12561720673941	NA	NA	NA
ENSG00000281990.1	0.00517957590043214	0.0476711232049478	6.98907167825104	6.12572872019445	-0.32835561137078	0.589563723073881	0.960810600109882
ENSG00000288753.1	-0.0328801103004148	-0.0765300579532964	7.00095394243869	6.12586377231729	0.132785387183809	0.831430548623551	0.989358121878522
ENSG00000170465.10	-0.00579549880830474	-0.0113264124358876	7.60624479954287	6.12612807984314	0.23559831278306	0.702825566847811	0.977376297728337
ENSG00000255059.1	-0.00913702561976098	0	6.46471581731446	6.12820733516892	-0.915001556885961	0.0293652885524725	0.70584025396217
ENSG00000275569.1	-0.00314314213149429	-0.0119204320332593	7.39903893334629	6.12835626806558	0.871205316208122	0.0544010760942823	0.77189794034961
ENSG00000255165.1	0.046275278126027	0.0372929541614759	6.61105289887337	6.12902060599178	-0.303457648878768	0.619640431923999	0.96615135774031
ENSG00000230013.2	0	0	6.69717737035833	6.13150766476773	NA	NA	NA
ENSG00000290404.1	-0.00177189494459236	0	7.12792706782479	6.13439925886408	NA	NA	NA
ENSG00000220771.2	-0.00659099572330417	0.00761286367097391	7.037019974795	6.13568676826822	-0.187656866972607	0.762477694978774	0.98273160892516
ENSG00000223783.1	-0.00826973706178218	0	7.18639355265139	6.13586089707338	NA	NA	NA
ENSG00000229433.2	0	0	7.34660511186756	6.13716274971016	NA	NA	NA
ENSG00000260838.3	0	0	7.71300868723309	6.1402342420519	NA	NA	NA
ENSG00000141371.13	-0.00499296477855948	0.0299751206754807	7.25783904107807	6.14175039677421	-0.419947820523575	0.481466361689858	0.950497595193825
ENSG00000226912.1	-0.000453931481263936	0	7.05978762968578	6.14218690214244	NA	NA	NA
ENSG00000253509.1	-0.00272871461176081	0	7.23457299313756	6.14220965676086	-0.0751311880530184	0.904430071941686	0.993835093303627
ENSG00000277693.2	-0.0309618332917581	0	7.04542905482483	6.14243542553881	-0.0443749628264352	0.943518590709912	0.995629196081977
ENSG00000201496.1	0.0029788062000248	0	7.16795862533686	6.14332176834737	0.601675636811161	0.283051532783141	0.909808353891024
ENSG00000282133.1	-0.0106184797050771	0	7.14593185449093	6.14493692478963	NA	NA	NA
ENSG00000249092.1	0.000584749177004484	0	6.85698248540185	6.14842751544727	NA	NA	NA
ENSG00000240687.4	-0.00324483996984148	0	7.55858170026134	6.1486789876147	-0.597798153167805	0.287002073025638	0.910771008233008
ENSG00000224324.1	0	0	6.43132397184752	6.14921951980247	NA	NA	NA
ENSG00000253190.4	-0.0215007249340371	-0.0400735293589194	6.96606812135889	6.15075057954388	0.340573118402811	0.574903909772531	0.960810600109882
ENSG00000256001.3	-0.0293718836348135	0	7.01614518529942	6.15075442450381	-0.0286709196580281	0.963500053233928	0.997908934755086
ENSG00000057149.16	-0.158088658577057	0	7.48264821604206	6.15096478642331	NA	NA	NA
ENSG00000289632.1	-0.00889024211042306	0	7.359340129809	6.15179210069032	-0.169950312135953	0.784658759184944	0.984082672016267
ENSG00000264660.2	0	0	7.1998671642427	6.15383008289284	NA	NA	NA
ENSG00000275022.1	-0.0060842169101182	0	6.48351269472468	6.15413904633612	0.348926607082637	0.564919998901288	0.959085355519319
ENSG00000255353.1	-0.0112256435739141	0.03469495985529	7.14797134665569	6.15470186109676	-0.809914362603857	0.0965984322137116	0.817804885752863
ENSG00000279212.1	-0.0110243390803545	0.0208910599728811	7.08303048014115	6.15656538352416	-0.171164499050593	0.783135460160675	0.984082672016267
ENSG00000260084.1	-0.00848694882072825	0	7.21390016047223	6.15701687981245	NA	NA	NA
ENSG00000256682.2	0	0	6.92283950595548	6.15760252126598	NA	NA	NA
ENSG00000270124.1	-0.0268900195793651	0.0142219993939291	6.82703564784696	6.15778554672686	0.133553828111908	0.830460853706014	0.989350340244468
ENSG00000224237.1	-0.028324571385885	-0.141622856929425	7.52775920706571	6.15838309379975	NA	NA	NA
ENSG00000263065.1	-0.00993421165879249	0.00460968455911448	6.69573486018088	6.15845239533925	-0.0635262247840442	0.919170333850293	0.993835093303627
