	ss34	ss32	ss33	ss26	ss31	ss17	ss19	ss30	ss25	ss18	ss11	ss24	ss23	ss28	ss22	ss21	ss20	ss27	ss8	ss15	ss14	ss29	ss16	ss7	ss4	ss13	ss12	ss3	ss5	ss2	ss6	ss10	ss1	ss9	label	IntronRet
4abd29b3-0a83-41d3-a741-bcc5b6d2f98a	0.4782608695652174	0.7857142857142857	0.8461538461538461	1.0	0.88	0.975609756097561	1.0	0.9333333333333332	1.0	0.9655172413793104	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9333333333333332	1.0	1.0	1.0	0.9487179487179488	0.9333333333333332	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.605557329926541
4da20b00-8ed6-41ed-88d9-9969d15761c7	0.7142857142857143	0.7586206896551724	0.8979591836734694	0.9215686274509804	0.9	0.9565217391304348	1.0	0.9545454545454546	0.98	0.9607843137254902	0.9516129032258064	1.0	1.0	1.0	1.0	1.0	0.98	1.0	0.9830508474576272	0.9605263157894736	0.96	0.9767441860465116	1.0	0.9830508474576272	0.9298245614035088	0.9863013698630136	1.0	0.9814814814814816	1.0	1.0	1.0	0.9833333333333332	1.0	1.0	Control	0.596862596862597
653ddf67-d2ac-4fc7-8e95-b4a078e27806	0.9473684210526316	0.8378378378378378	0.8571428571428571	0.925925925925926	1.0	1.0	1.0	1.0	0.9310344827586208	1.0	0.972972972972973	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.659917510311211
2e4316d2-5fe5-4ee1-9b22-73f4c42b6202	0.8444444444444444	0.8181818181818182	0.925	0.9444444444444444	0.9240506329113924	0.9523809523809524	1.0	0.9420289855072465	0.9622641509433962	0.9803921568627452	0.9705882352941176	0.9622641509433962	1.0	0.9705882352941176	1.0	1.0	1.0	0.9705882352941176	0.9666666666666668	0.9534883720930232	0.9876543209876544	0.9701492537313432	0.963855421686747	1.0	1.0	1.0	0.975609756097561	0.967741935483871	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.615651886168101
7aac48b4-dbb0-49a5-a3e0-04916a9270b8	0.7317073170731707	0.7386363636363636	0.8947368421052632	0.9857142857142858	0.9078947368421052	1.0	1.0	1.0	0.9857142857142858	0.9850746268656716	0.935064935064935	0.9857142857142858	1.0	0.9846153846153848	1.0	0.9846153846153848	1.0	0.9846153846153848	0.9852941176470588	0.9483870967741936	0.9932432432432432	1.0	0.99009900990099	0.9852941176470588	1.0	0.9932432432432432	1.0	0.9705882352941176	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.520516593101193
9c0696ab-2bd6-4372-8b10-8222816de48e	0.76	0.6538461538461539	0.8571428571428571	0.9	0.782608695652174	0.9565217391304348	1.0	1.0	0.9473684210526316	0.9473684210526316	0.9565217391304348	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9444444444444444	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.636237897648686
2d1e176a-adc9-4d8a-92cf-5cba5ab8e486	0.8518518518518519	0.6153846153846154	0.8461538461538461	0.9090909090909092	1.0	0.9615384615384616	1.0	1.0	0.9523809523809524	1.0	0.9473684210526316	0.95	1.0	1.0	1.0	1.0	1.0	1.0	0.9444444444444444	0.9375	1.0	1.0	1.0	0.9444444444444444	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.597365945437441
467bd108-f391-4dd1-92de-43879822400d	0.7857142857142857	0.8431372549019608	0.8620689655172413	0.96875	0.86	0.975	1.0	1.0	0.96875	1.0	0.9642857142857144	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8888888888888888	1.0	1.0	1.0	1.0	0.8888888888888888	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.567424018884627
898f9214-8dab-4b92-9233-70c06c60078c	0.8125	0.75	0.9622641509433962	0.9069767441860463	0.926829268292683	0.9183673469387756	0.951219512195122	0.9743589743589745	0.9285714285714286	0.975609756097561	0.8611111111111112	1.0	1.0	0.9722222222222222	1.0	1.0	1.0	0.9722222222222222	1.0	0.9607843137254902	1.0	0.926829268292683	1.0	1.0	1.0	1.0	0.98	1.0	0.9629629629629628	1.0	1.0	1.0	0.9629629629629628	1.0	Control	0.62984101100693
61a614bb-2249-4611-8aac-1a8e53d4467b	0.5625	0.7857142857142857	0.7916666666666666	0.9473684210526316	0.88	0.8125	1.0	1.0	0.9473684210526316	1.0	1.0	1.0	0.9523809523809524	0.9583333333333334	0.9523809523809524	1.0	1.0	0.9583333333333334	1.0	1.0	1.0	1.0	1.0	1.0	0.8461538461538461	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.611718408395278
bd1f12ab-ee49-4e7e-aad4-14924c49d306	0.7096774193548387	0.6666666666666666	0.875	1.0	0.8333333333333334	0.8571428571428571	0.8333333333333334	1.0	1.0	1.0	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	1.0	1.0	1.0	1.0	0.9583333333333334	1.0	1.0	0.9375	1.0	1.0	1.0	0.9615384615384616	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.619909502262443
bf3ea4a0-bcd6-4e9d-acbb-3416f6ce53b7	0.5454545454545454	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9565217391304348	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9411764705882352	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.518822724161533
0965a7ff-1a9f-4cc6-a822-970390b2de58	0.5	0.9032258064516128	0.7894736842105263	1.0	0.9333333333333332	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9375	1.0	0.9375	1.0	1.0	1.0	1.0	0.8235294117647058	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.638366469639978
4497500a-5721-4d7a-8ed9-1ba7b42fb6ab	0.75	0.945945945945946	0.9761904761904762	0.9705882352941176	0.9722222222222222	1.0	0.8974358974358975	1.0	1.0	1.0	0.8666666666666667	0.9705882352941176	1.0	1.0	1.0	0.9411764705882352	1.0	1.0	1.0	0.9473684210526316	0.9827586206896552	1.0	0.9433962264150944	1.0	1.0	1.0	1.0	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.58758482030661
967fde0b-9c38-4c69-97f2-9640ebe1dc9a	0.8709677419354839	0.8604651162790697	0.967741935483871	1.0	0.9285714285714286	0.8571428571428571	1.0	0.8717948717948718	1.0	0.9666666666666668	0.8846153846153846	0.8181818181818182	1.0	0.9714285714285714	1.0	1.0	1.0	0.9714285714285714	0.9523809523809524	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9655172413793104	0.9523809523809524	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.62739597942964
d920c232-82ae-48f9-98d1-b94bf4a45d8d	0.6666666666666666	0.9230769230769232	0.95	1.0	0.972972972972973	0.8125	1.0	1.0	1.0	1.0	1.0	0.875	1.0	1.0	1.0	1.0	0.967741935483871	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.593013809910642
b3435d9e-fb7f-4748-9a0b-2b532875c87e	0.7586206896551724	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.95	1.0	0.95	1.0	0.95	1.0	1.0	0.9375	0.9642857142857144	1.0	0.9333333333333332	1.0	1.0	0.9642857142857144	1.0	1.0	1.0	0.9130434782608696	1.0	1.0	1.0	1.0	Control	0.550271739130435
741fb6d6-364f-47a0-a262-f18235c48fc4	0.7058823529411765	0.8	0.5609756097560976	0.8529411764705882	0.8333333333333334	1.0	0.9333333333333332	0.9047619047619048	0.8787878787878788	0.9655172413793104	0.925925925925926	0.9032258064516128	1.0	1.0	1.0	1.0	0.9629629629629628	1.0	0.92	0.875	0.75	1.0	1.0	0.9583333333333334	1.0	0.8571428571428571	0.8	1.0	1.0	1.0	1.0	1.0	0.9615384615384616	1.0	Control	0.632459425717853
b7ef29ba-06f6-4445-8c70-52388892388c	0.8620689655172413	0.7884615384615384	0.96	1.0	0.9347826086956522	1.0	0.9743589743589745	1.0	1.0	0.9487179487179488	0.9090909090909092	0.9743589743589745	1.0	0.9111111111111112	1.0	1.0	1.0	0.9111111111111112	0.9333333333333332	1.0	1.0	1.0	0.9318181818181818	0.9333333333333332	0.9655172413793104	1.0	1.0	1.0	0.9333333333333332	1.0	0.9655172413793104	1.0	0.967741935483871	1.0	Control	0.533333333333333
9ee600fe-20c7-4b1f-b08f-15d3d38a5c52	0.8571428571428571	0.8888888888888888	0.9245283018867924	0.8125	0.8918918918918919	0.9310344827586208	1.0	1.0	0.9629629629629628	1.0	0.918918918918919	0.896551724137931	1.0	0.8372093023255814	1.0	1.0	1.0	0.8780487804878049	0.9701492537313432	0.9375	0.975	0.9714285714285714	1.0	0.9848484848484848	1.0	0.975	0.9753086419753086	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.521670783741298
678aa892-0631-47cc-b19e-cdcef42cecb3	0.7741935483870968	0.8260869565217391	0.9583333333333334	0.9166666666666666	1.0	0.9130434782608696	1.0	1.0	0.92	1.0	0.9523809523809524	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.935483870967742	0.9666666666666668	1.0	0.9629629629629628	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.522738630684658
f201e2e9-dfb0-4a53-bd68-56f4e87604d3	0.7346938775510204	0.7872340425531915	0.875	0.945945945945946	0.925	0.9666666666666668	1.0	0.9696969696969696	0.972972972972973	1.0	0.95	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9696969696969696	1.0	1.0	1.0	1.0	0.95	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.600284495021337
9d515fd5-009a-4c32-95e7-042909d70b9f	0.5925925925925926	0.7777777777777778	0.9444444444444444	0.8571428571428571	0.9411764705882352	0.9285714285714286	1.0	1.0	0.9	1.0	0.9545454545454546	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9545454545454546	1.0	1.0	1.0	Control	0.614259597806216
13daffbb-aa53-44f9-a6ed-5fd43ed37471	0.6388888888888888	0.8095238095238095	0.7857142857142857	0.9642857142857144	0.9487179487179488	0.945945945945946	0.9629629629629628	0.9722222222222222	1.0	1.0	0.9444444444444444	1.0	1.0	0.9444444444444444	1.0	1.0	1.0	0.9444444444444444	1.0	1.0	0.9743589743589745	1.0	0.981132075471698	1.0	1.0	0.9743589743589745	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.539651837524178
ed108cc1-3b34-4ee5-b029-48b80ccaae19	0.7111111111111111	0.8484848484848485	0.8857142857142857	0.9642857142857144	0.9142857142857144	1.0	0.9629629629629628	0.9642857142857144	0.9642857142857144	1.0	0.967741935483871	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9666666666666668	1.0	0.9655172413793104	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.572185843467415
feb7140e-d822-4462-8dfa-7a63805ac740	0.7397260273972602	0.9285714285714286	0.9464285714285714	0.9375	0.9473684210526316	0.9655172413793104	1.0	0.9375	0.9583333333333334	1.0	1.0	1.0	1.0	0.9782608695652174	1.0	1.0	1.0	0.9782608695652174	0.971830985915493	0.9705882352941176	1.0	0.9565217391304348	0.9534883720930232	1.0	1.0	0.9797979797979798	1.0	1.0	1.0	0.9863013698630136	1.0	1.0	1.0	1.0	Control	0.524765478424015
da752364-731c-4e77-8d6e-9c91a5b7f68f	0.7872340425531915	0.8333333333333334	0.8666666666666667	0.896551724137931	0.9210526315789472	0.9166666666666666	1.0	1.0	0.896551724137931	1.0	0.8947368421052632	0.896551724137931	1.0	0.9696969696969696	1.0	1.0	0.96	0.9696969696969696	1.0	0.971830985915493	1.0	0.9411764705882352	0.975609756097561	1.0	0.9696969696969696	0.9848484848484848	1.0	1.0	0.9411764705882352	1.0	1.0	1.0	1.0	0.9714285714285714	Control	0.581427774679308
1dd6852b-2456-4576-9b22-f7604277c955	0.8064516129032258	0.8571428571428571	0.8928571428571429	0.9655172413793104	0.9285714285714286	0.96	0.967741935483871	0.9523809523809524	1.0	1.0	0.8421052631578947	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9705882352941176	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Control	0.625866747060597
