Gene	aver_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENSG00000255250.2	0.00471919797381348	0.0115050050668032	0.00415795990961937	-0.831589106440586	0.00285679710443778	0.00410905709997065
ENSG00000236095.1	0.00471802553622789	0.0111907316153169	-0.0359478298785729	-0.844097349539795	0.00213176910033849	0.00318903241159273
ENSG00000170516.17	0.00471645998653389	0.0128941263449668	0.0268985305882172	-0.824115997126688	0.00336627251465941	0.0047470236570463
ENSG00000280953.2	0.00470564075554407	0.0134682044437021	-0.0197387040796083	-0.85577375451015	0.00158467526694945	0.00247226310588281
ENSG00000187642.10	0.00470071047771949	0.0127820120937778	0.0835037204892656	-0.67432839005051	0.0324699942517554	0.0375646382670601
ENSG00000124721.18	0.00470057356111611	0.0245786111026685	-0.0236114690803843	-0.883523205763313	0.000698077906443867	0.00124002371154427
ENSG00000180574.4	0.00469802253146364	0.0150413893031068	0.0615409916091652	-0.956349612169858	1.50660069272969e-05	7.94101972633819e-05
ENSG00000286393.1	0.00469326904086301	0.00915991221792134	0.0041752931273141	-0.939254631517997	5.53370311340518e-05	0.000183626437541626
ENSG00000257195.1	0.00469218927892409	0.0144063141378765	0.0698913589117428	-0.935628651001623	6.94703816570941e-05	0.000213708468565551
ENSG00000186026.7	0.00469147603141231	0.0280404129461219	0.0421800668699912	-0.979399127104322	7.6867649925843e-07	1.66614235023279e-05
ENSG00000056291.19	0.00468933609773775	0.0141809191887471	-0.010962958723211	-0.780455304280364	0.00772361887429197	0.00998741589928225
ENSG00000211626.2	0.00468732407623718	0.0188465028956307	-0.0290261620397672	-0.772402957587651	0.00882731550570293	0.0112748860319513
ENSG00000240759.1	0.0046738594370975	0.0190897003564343	-0.00975745171860394	-0.616690612225434	0.0575608951577784	0.0644300706218128
ENSG00000291015.1	0.00467305851806158	0.0189234144221395	0.024884702795853	-0.93966255491437	5.38924890127691e-05	0.000180030047411149
ENSG00000237917.1	0.0046727701776806	0.0147208927070297	-0.00204741859373442	-0.587207686738943	0.0742898500462295	0.0820053106886062
ENSG00000277450.1	0.00467141204983901	0.0165828878153417	0.0451420866874973	-0.953223835304277	1.97919124351308e-05	9.36900324740743e-05
ENSG00000240990.10	0.00467111699091417	0.0177198876234838	0.0501423199132053	-0.845176758962128	0.00207618976532085	0.00311766606453718
ENSG00000286948.1	0.00466989606079804	0.0183970682156721	-0.0170700808405021	-0.847364140190617	0.00196678223555812	0.00297332499190855
ENSG00000233309.1	0.00466686449498868	0.0115396955663647	0.0212562195981368	-0.935746993872394	6.89709499724383e-05	0.000212669035818978
ENSG00000229660.1	0.00466685929673583	0.0151679190620604	0.107811203323424	-0.856786528940014	0.00154260784884144	0.00241431611994758
ENSG00000282142.2	0.00466086996211945	0.0124260479939584	-0.00264395718963161	-0.829259091339466	0.00300922671836963	0.00429967089097852
ENSG00000185290.4	0.00465792600846842	0.0138467080829028	0.104029031260878	-0.6765805303437	0.0316779112240537	0.0367280647138643
ENSG00000272143.2	0.00465474441878404	0.0257870411871137	0.0965312695489794	-0.832326382756932	0.00280974470888666	0.00405043334375909
ENSG00000168904.15	0.00464822708128969	0.0318209498151035	0.00970749940283947	-0.8581753720144	0.00148624394119174	0.00233771027201656
ENSG00000168589.15	0.00464645595516325	0.0138003881772939	0.129795447798303	-0.694838009691053	0.025736279076357	0.0302203638926185
ENSG00000118526.7	0.00464538128547636	0.01947492286571	0.0117813007346062	-0.950180199856887	2.53736245463725e-05	0.000109019086959031
ENSG00000115008.6	0.00464295454279755	0.0162409668200664	0.035838580085055	-0.641729275863128	0.045481164841977	0.0515552238136429
ENSG00000279035.1	0.00463394675480188	0.0154422180571646	-0.00902091988015837	-0.778556343013124	0.00797455255835734	0.0102813375994483
ENSG00000249743.8	0.0046323439276457	0.0208611331783819	0.0320028711118434	-0.832690947001384	0.00278668585830397	0.00402414166653115
ENSG00000170417.16	0.00463053865053839	0.0179518953691612	0.0333842316153536	-0.863720328995311	0.00127600320904513	0.00205078109677266
ENSG00000242375.1	0.00462988922408935	0.0446406319819308	-0.0196623787762721	-0.471027582270587	0.169408427341058	0.17979308302523
ENSG00000227107.1	0.00462738328860818	0.0156441552822111	0.0938531550421149	-0.937568541232333	6.16138215268256e-05	0.000197065973438859
ENSG00000258952.2	0.00462530582822619	0.0128592427663849	0.0189718575918184	-0.882060371639802	0.00073246836485185	0.0012903525001528
ENSG00000099822.3	0.00462413042275309	0.0123478416189604	0.0371995740079784	-0.875704734737321	0.000896402156718154	0.00152445619505306
ENSG00000243554.1	0.00462302427077904	0.0351551607502736	-0.0699402212808679	-0.771224609727789	0.00899766696295822	0.0114725453882468
ENSG00000237232.9	0.00462173664612997	0.0135022535114349	-0.00381723396996877	-0.890135277324228	0.000557151872280805	0.00103262825557379
ENSG00000253696.2	0.0046173885171779	0.0217880943629286	0.00219571386152595	-0.918573104648751	0.000174168202949228	0.000419226746965119
ENSG00000278626.1	0.0046137105935078	0.017668074590101	-0.0288773514827653	-0.937157427969784	6.32209105629643e-05	0.000200380119503158
ENSG00000188897.10	0.00461035894150581	0.0149808351568789	0.0124498993185977	-0.823640024924279	0.00340078357703931	0.00479109662214984
ENSG00000225885.7	0.00460472403716476	0.013247400745783	-0.00918023050014086	-0.823804270189667	0.00338884616296886	0.00477536801111452
ENSG00000144015.5	0.00460351396018922	0.0138813437096698	0.00522079693811921	-0.888149223624489	0.000597059879084124	0.00109185248580647
ENSG00000270076.1	0.00459973655514643	0.0213122261364446	0.0166321926388852	-0.93318926292788	8.03732935372796e-05	0.000237243365825836
ENSG00000290784.1	0.00459086699698528	0.0112895096172664	-0.0387291641754167	-0.811140193371575	0.00440108279993771	0.00602162455068869
ENSG00000132256.20	0.00457788486968399	0.0149347486760972	0.0425802506415369	-0.879457325470284	0.000796700130899352	0.00138455392691658
ENSG00000232654.1	0.00457711465968437	0.0216091612340024	0.0183675962151353	-0.967965739350716	4.43244530382992e-06	3.95443325468e-05
ENSG00000100473.18	0.00457430327413529	0.0441367265925342	0.0239377296099457	-0.872099986212067	0.00100045548863448	0.00166978648424581
ENSG00000203722.8	0.00457419156018785	0.025753766036722	0.0960576536565361	-0.900456264334848	0.000380354697705973	0.000763601920574871
