Gene	mean_raw_r_sq	best_raw_r_sq	mean_rmse	min_rmse	cor_value_R2_RMSE	cor_pvalue	cor_padj_BH
ENST00000667630.1	0.147090007212548	0.156202703129323	0.619390320206911	0.511304055500866	-0.51646492263827	0.372948155435632	0.895893778069645
ENST00000658840.1	-0.0174429836148429	0	0.643071904252815	0.586279726137601	0.217951027709209	0.724709087497304	0.973964927794396
ENST00000671092.1	-0.228328585364123	-0.000124836376965254	1.32907853420317	0.660461928658	0.304663067693124	0.618178313038883	0.973964927794396
ENST00000666076.1	0.0158946482941214	0.150649476874613	2.05931569369647	0.937572231145102	0.0286868998735145	0.963479714960711	0.973964927794396
ENST00000653853.1	-0.165796357958505	0	1.75572370835082	1.03262486362647	0.38272402681083	0.524873169338688	0.973964927794396
ENST00000656693.1	0.016585270175252	0.158230084570246	2.43219753910752	1.0706901369684	0.0284199560610381	0.963819459796538	0.973964927794396
ENST00000665175.1	0.0208826641208865	0.0463390974356089	2.68370015003751	1.13667863156505	-0.0382781469723081	0.951274653963714	0.973964927794396
ENST00000670626.1	-0.0222146194238192	0	3.23187656676451	2.24990372099701	0.072765932076827	0.907433363258543	0.973964927794396
ENST00000661988.1	-0.000310857385942764	0	3.08991416295059	2.53292104570098	NA	NA	NA
ENST00000657945.1	-0.0184465286479853	0	3.1856255920168	2.54824714546518	NA	NA	NA
ENST00000523068.2	-0.0137739502553456	0	3.4181839339996	2.69737519643743	NA	NA	NA
ENST00000667149.1	-0.0155526188525882	0	3.6748198207621	2.79879503422921	0.326354963163615	0.591970673887415	0.973964927794396
ENST00000667418.1	-0.0689622798084112	0.0136051195365626	3.8566167833115	2.82753342289608	0.114195358598402	0.854918587126673	0.973964927794396
ENST00000689722.1	-0.000744362026926915	0	4.25893475900638	2.94913628351614	NA	NA	NA
ENST00000663753.1	0	0	4.33124338383607	3.07221282253363	NA	NA	NA
ENST00000701558.1	0.00673999447241758	0.0737056667099695	3.91187787811544	3.11560320626857	-0.669602265560393	0.216321024997402	0.730276702926607
ENST00000504719.7	0	0	4.43892788664004	3.26541603438716	NA	NA	NA
ENST00000666105.1	-0.00104002836797759	0	3.96018082468199	3.2762099356788	NA	NA	NA
ENST00000670223.1	-0.00764164952525839	-0.0382082476262919	4.78101611965583	3.34453415244615	NA	NA	NA
ENST00000665372.1	-0.00627242991713448	0	3.67793814502532	3.3477725177499	NA	NA	NA
ENST00000650930.1	-0.13798447952181	-0.640463655935334	3.90855623283563	3.4481667336077	0.466718361278959	0.428095752518282	0.955748656785002
ENST00000655099.1	-0.0010015913097801	0	4.02560258250848	3.45028860282912	-0.241136847576346	0.695976965595377	0.973964927794396
ENST00000701841.1	-0.00346573347595673	0	3.8639048818906	3.5167125529807	NA	NA	NA
ENST00000668479.1	-0.0889465250989122	0	4.3423975400502	3.61895582341592	NA	NA	NA
ENST00000651664.1	0	0	4.27877901985057	3.66105666537663	NA	NA	NA
ENST00000671587.1	0.00904427623263666	0.0378404846107863	4.20222500154152	3.66866314912493	-0.880060813684179	0.0489557561466818	0.484556033008039
ENST00000658350.1	0.00633701228226089	0.00127666963322959	4.76707413140282	3.6789090060548	0.208647724364232	0.736281777393781	0.973964927794396
ENST00000666777.1	-0.00846528168979313	-0.0470258123424561	4.70725783157082	3.68570254442761	0.70874368001734	0.180218095511108	0.664358443089476
ENST00000701700.1	-0.0312255838899202	-0.0856076550952982	4.45664793664915	3.71196110880782	0.784899364135674	0.115814331082448	0.49931425502138
