id	filename	md5	size	state
57cbda69-4bda-445b-8340-a6bb311876ad	30af3c81-0225-48a6-959d-f93d9d9f7ff9.wxs.MuTect2.aliquot.maf.gz	48148d7fed9fddb18533932858d7180a	6418055	released
d23705ec-5d13-42e0-b7ac-4cd3a3938f36	6f2cfc21-602a-450f-84f2-c3d12048e5c4.wxs.MuTect2.aliquot.maf.gz	fe20c70c9741b7aa3f72d5548f668301	2930166	released
f855aaa9-0722-4d59-916c-1c86f3867323	f4c6227e-810f-468f-be5e-801763a70017.wxs.MuTect2.aliquot.maf.gz	25454b89674c1b8a97d10fe9461d3a7d	2239010	released
94ecd619-5d97-4835-bba0-837c02aed94f	97ebb312-18bf-4eec-a7b7-ca6f9413ee05.wxs.MuTect2.aliquot.maf.gz	06f0689f8a8cd7ad039bd0ac242f09ce	3499481	released
ceed6492-1797-4146-8d64-111cc2d8df56	990adb76-7399-419c-9036-1afd6e6134af.wxs.MuTect2.aliquot.maf.gz	f576c54fc71cb25294e62f43e4b105c3	2023911	released
9bca938e-a392-48fc-b11d-69d6305ccd52	c1e472e7-f5a8-4de4-8f71-5659659e29e3.wxs.MuTect2.aliquot.maf.gz	d6493f3e7af3b75e4cbfe85b90f0e5cf	3634039	released
5994fcec-becd-4bf5-a93a-93d514059b4d	0f6ba054-97e0-4614-b821-54f1a88012a9.wxs.MuTect2.aliquot.maf.gz	09327a26978d87903569f5407f8bc027	2937646	released
32a8de85-c194-4a26-8e83-115a077c1a9e	23f49cd0-bf3f-4ef5-bb9c-c502d6d79a98.wxs.MuTect2.aliquot.maf.gz	12e9dcad45613592d0d9b0209fff72e4	2696510	released
4adcdc22-54ee-415b-9bbd-d0ac3d6709b3	cf528a00-bc2f-4e64-9b13-bfa56eb4a472.wxs.MuTect2.aliquot.maf.gz	fbb8360cd91e9b42a5c7fc9ca0e5cf14	1351266	released
7211835d-274d-43b3-a7f1-781af5f65252	c47b74f8-a017-49c7-a0f1-642d1ea7721b.wxs.MuTect2.aliquot.maf.gz	d5750aaea29735edf482334e3ffb2ce9	4031695	released
ee2a6b92-d5cc-45df-a417-998fc0275c76	f5f77bef-01d4-4c4a-8828-63dd2308479f.wxs.MuTect2.aliquot.maf.gz	d558ba147f59e28dce70db83ea67d62d	3225910	released
25dc0d66-2c5e-4716-a83e-26ab72f984cc	13731a8d-7cd1-4006-b627-d8b27f6cca86.wxs.MuTect2.aliquot.maf.gz	01b7ba7fc8d0f20cfe25d61dcc6c4fd3	3082822	released
fbe72d7a-23ef-4c03-bb8c-1b02e425aae0	7a8d46f6-1a42-46a1-8ab2-fb2c4c873438.wxs.MuTect2.aliquot.maf.gz	8fb8b2969b65ffa60d4af70e92b2d394	3862808	released
2286c7cf-65ce-48ff-95e4-bc9c94267e0c	17e5be8e-41c0-48f8-baaf-c202586f6598.wxs.MuTect2.aliquot.maf.gz	ca0251515499f542fecbd933854e4dc1	987014	released
7e604414-d74a-4dd6-a6bf-3fd0c5adf405	4efd82b3-1d2b-4a07-b9de-15855bcf10aa.wxs.MuTect2.aliquot.maf.gz	7a86ea58bb9621921088143e8124b8c6	1489338	released
d962672e-7883-4d49-a2c3-229f8febc02d	8d23a283-b892-46e5-a040-21f8298d7dd0.wxs.MuTect2.aliquot.maf.gz	f2af7677bb6d3381c696f1a760217b45	1264042	released
58109b45-610a-4c88-9407-aedc3c146416	059fd1ec-bf4c-45c8-989f-e2237acbb581.wxs.MuTect2.aliquot.maf.gz	902d448c82a0217f2c02c1bb4e5a393c	4103690	released
7f9a21f1-f220-47bd-87f8-1dbde340701b	df47f118-1f60-4d0f-ad5e-6e07bb02bb1b.wxs.MuTect2.aliquot.maf.gz	3f7a5c4ee5f57ad4fa8af2943417a64e	4460919	released
14facd13-605d-4faf-95d4-fca1a7ebdb10	58114c3c-843a-44bf-971f-1bd4a19a937d.wxs.MuTect2.aliquot.maf.gz	fd817a2bb8a18b7aad6f44b0147ad1b1	1300551	released
f0425213-ed79-4627-9316-aaeed173fab0	487ed34a-c815-4269-8fe7-3bad82afb7a6.wxs.MuTect2.aliquot.maf.gz	ea05bc7b2f3e0cee10a8f8a46e04651e	1291057	released
cef88605-3673-4bbd-b645-6d7399f69c39	03eb3f9e-8300-439e-8323-a545cd15fe1c.wxs.MuTect2.aliquot.maf.gz	e2f8775d8a2e9ef557e6fc432d0264a0	1261119	released
b1d61f11-0454-4820-ad41-b69111ec097d	7fe9cc8d-6b50-4773-9247-9d4f05a11a21.wxs.MuTect2.aliquot.maf.gz	135b3fae7303083ed7b43549cb433ce3	1762613	released
a3510441-0694-4a52-a260-fc8192bf636f	5bc85e1b-8906-4bc9-9a2f-bd8476687a06.wxs.MuTect2.aliquot.maf.gz	15f3ad6639a31d1bbf4ef683e3a1416d	4354965	released
9606dc87-6975-47d1-8f76-c316e3a176a7	f5416dd9-524c-41c5-a074-2dbafa05f8f2.wxs.MuTect2.aliquot.maf.gz	f6284f34ba14ae5464e4a51aa2362c90	926819	released
4194ee54-680b-4469-b354-27bddd3a2973	a40c1bcd-349e-4191-8a68-7c235332a9e6.wxs.MuTect2.aliquot.maf.gz	60e68ec547f3d998a93dcc10da5475c5	2280826	released
cbb76d73-39fc-4d72-9e90-5f01bdc1f880	807cde85-b714-4acb-9e63-915053cfd526.wxs.MuTect2.aliquot.maf.gz	382820c1d33a175008db26fc504bf6e9	2547564	released
7e63cf25-8cc0-4e1c-91b1-09ffa990cb03	1211b0d1-f44d-47eb-8e5e-8a6a43cecd6e.wxs.MuTect2.aliquot.maf.gz	c31540e4f1061c6d210cec7ccb249224	1264254	released
11ea3bbf-5ccb-486f-9a29-bd2426d14c32	ae0cef6e-3555-491f-964c-1a9ec69b498a.wxs.MuTect2.aliquot.maf.gz	075373e594b419b99d18e63bba45b828	1046098	released
d1a1516f-8535-4bb8-8ba0-0afd29e896c7	18201ad8-dce3-4b97-b73b-242b756557dd.wxs.MuTect2.aliquot.maf.gz	e48cdf6cd79a104d20e06c54ebf5d27c	3923499	released
ec905bde-0974-401d-9cf7-1ca03b7d4f53	8bfbab62-bac9-4c2d-ab82-5eeaba9d620a.wxs.MuTect2.aliquot.maf.gz	64945f0fe75bfa2ef7295ba672aafcda	2383584	released
07977e7d-3e2a-471b-a45f-53c86fe13425	62c43bc4-94a9-44e8-8c5c-bb2588b5ffad.wxs.MuTect2.aliquot.maf.gz	61af4ca49d3acc470b03adbbaeb6c1f1	1649413	released
1cb27d7e-9f11-4f6a-9b21-eefefa3974cc	7f7b8dff-3f2f-4b99-8847-31598bebd1c6.wxs.MuTect2.aliquot.maf.gz	c08a16afdf01e114117963fd3638d459	3170867	released
143d8451-5fb8-4211-82e0-83fbb7944a30	f53f5ddd-895b-4555-bbda-4c7efb53e2e1.wxs.MuTect2.aliquot.maf.gz	c852fff51206c5d2d704eabc45f3731e	4904991	released
624fd7da-7e7a-4aef-a069-d940b867b1fb	5fc60227-4275-4696-adba-095871685b90.wxs.MuTect2.aliquot.maf.gz	a299d03b13005a3d95e8698f004cdc27	2008465	released
8e25bcb2-20b7-46e7-a9a0-c248d10cb7be	8c3e2637-0927-4dc8-bc53-e574fa714973.wxs.MuTect2.aliquot.maf.gz	56a40b82069c6a579db7d5b7fa2042aa	917718	released
953d4b9e-bb17-449b-8655-7239216761b4	058c1438-dcdf-466e-8416-c8e271fb54ea.wxs.MuTect2.aliquot.maf.gz	27beaf467139133a1beb895ce7e40c6e	2321680	released
79c1c81e-3717-4f73-9527-f5c3df24dd3a	b92e0870-ffef-4305-a474-145db65f3baa.wxs.MuTect2.aliquot.maf.gz	4e983568cbc3a90adda451eeed371e2b	2122669	released
eacf0018-8c66-4489-b7e8-6ff6d38c8b1c	10c1f055-7b57-40a8-b2cf-0971cc259a5c.wxs.MuTect2.aliquot.maf.gz	96ff8af91159c3a966062e05ff99a2f8	3177433	released
e7f50523-73fc-4e69-a621-f2bd1f75af30	1feeb6fd-f27a-425f-acf6-4e37faeaa105.wxs.MuTect2.aliquot.maf.gz	560152f34de8be485371d762ef05ab7d	2066453	released
6ea16911-1ae8-4770-b192-a60185ea6cc7	eee77961-44b5-4d5e-a541-a37acdbff6fc.wxs.MuTect2.aliquot.maf.gz	a0c2bcc9ccea07f2a1fca6162cc4ee03	2401342	released
7ad8228e-ee86-4103-bdf5-db9e59cfa6f7	dc556d06-5bf5-4783-bb58-f1cc27279624.wxs.MuTect2.aliquot.maf.gz	3893a88c0a7f49290c13f6151a165f7e	1262210	released
