Gene	mean_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENST00000670626.1	0.33817796161146	0.44433815561372	0.0431597675377478	-0.985550677215057	0.00208047051693321	0.0726445407947657
ENST00000665175.1	0.261346384822255	0.349677422801431	0.217015860197878	0.367851610082659	0.542425024542993	0.64920160417744
ENST00000666076.1	0.253547488914329	0.368639937527352	0.234410732156383	-0.0366338288933846	0.953366795397385	0.97913346554326
ENST00000667630.1	0.246359295075532	0.280568660556346	0.239316089785433	-0.116662242459029	0.851798648624061	0.902163467098927
ENST00000656693.1	0.239808042486251	0.303031737326159	0.32437802549587	-0.848949817252618	0.0688529504196294	0.220265106114751
ENST00000653497.1	0.228204978724466	0.282241200010668	0.0486913709733245	-0.834018432658637	0.0791232521779881	0.231843250795269
ENST00000669509.1	0.19192770283096	0.276563458702413	0.113889523789116	-0.888005404706311	0.0442278482863975	0.192075226843784
ENST00000523427.2	0.167018329439785	0.21742217327049	0.0107479094754916	0.12243515659971	0.844501070367993	0.902163467098927
ENST00000521951.1	0.161237956351431	0.237647162988547	-0.0487850171710252	-0.262107478683276	0.670135946908978	0.74897547007474
ENST00000671092.1	0.160473241088096	0.185584608428372	0.197287113050058	-0.490148513335855	0.401900398265178	0.546207834557681
ENST00000658242.1	0.158321941901146	0.189553588494974	-0.00591622322883327	-0.398657170337732	0.506199081908903	0.635886450001267
ENST00000652492.1	0.146474320282932	0.232006408635681	0.000401706829556078	-0.00299922697319565	0.996181271339249	0.997807913331423
ENST00000664924.1	0.141483274572837	0.235874270907007	0.200826418666567	-0.627215260030623	0.257397907926444	0.426224170089468
ENST00000521122.2	0.138370021119142	0.231713267094579	0.265973184041127	-0.856079303382428	0.0641082214149628	0.220265106114751
ENST00000659326.1	0.137744743396529	0.255878677699092	-0.00629498469978449	-0.370680852273432	0.539077320623535	0.64920160417744
ENST00000689722.1	0.136532960104498	0.202038319487313	-0.0492461511380997	-0.644124068950576	0.240778940694933	0.412269697867947
ENST00000667418.1	0.126676389805666	0.1916097267963	0.116736934385981	-0.657066072314539	0.22826519572857	0.408191879420502
ENST00000656168.1	0.126447628011127	0.272115318896539	-0.000169037248431313	-0.929032027975422	0.0224517134300739	0.15148535407655
ENST00000660438.1	0.120584708550539	0.175380150452347	0.1837680546479	-0.798521191733373	0.105219618067159	0.253318357266588
ENST00000653406.1	0.117150116520885	0.160761923035929	0.091115777365027	-0.987241122658043	0.0017267109257806	0.0726445407947657
ENST00000652695.1	0.112963030817645	0.147383609650043	0.167557056751805	0.283218796769858	0.644275228402266	0.725406183089959
ENST00000659666.1	0.0971829948542637	0.130663022692103	-0.0151612410548211	0.00172166169404372	0.997807913331423	0.997807913331423
ENST00000658840.1	0.0955929464039083	0.190385517871631	0.0125042275980431	-0.483288257053588	0.409530691118808	0.550873142035919
ENST00000668619.1	0.0925956520923281	0.134248292216646	0.058630975224644	-0.739065797874568	0.153587414371806	0.324240097007146
ENST00000654324.1	0.0912960541198035	0.171726551976453	0.0101575165876755	-0.286873468363441	0.639815005542283	0.725406183089959
ENST00000652993.1	0.0893234341836184	0.102606010395701	0.145460271926224	0.597766593382025	0.287034286200323	0.464140547898394
ENST00000667149.1	0.0890929121141051	0.179309199457701	0.140978266260951	-0.551441476107794	0.335298186218673	0.480804946275833
ENST00000669272.1	0.0880407564219817	0.142390825186444	0.174774305646317	-0.900045291004225	0.0373609400086774	0.18473565887957
ENST00000669407.2	0.0869845268635419	0.135536239009198	0.134694255445142	-0.691644361625217	0.195761206147497	0.376654472587589
ENST00000664214.1	0.0834728477760439	0.110852177244641	-0.0215312440636016	0.325276380748229	0.593269031499092	0.693668406060477
ENST00000651587.1	0.0811935354499669	0.171702673583579	0.0736310512809556	-0.872573846448566	0.0535477868594744	0.217820905500968
ENST00000670009.1	0.0800554392840118	0.171588912598454	0.13483965869386	-0.974224588250151	0.00494829979604604	0.0835712854443332
ENST00000656411.1	0.0776390666199332	0.143656701939044	0.257989084242812	-0.62380878724311	0.260781893541582	0.426224170089468
ENST00000657112.1	0.0762003167090036	0.149874684716996	0.118265912547095	-0.803577366950812	0.101366039770715	0.253318357266588
ENST00000659892.1	0.0734730293760039	0.102464546483675	0.165269262525195	-0.933197658557407	0.0205173414164209	0.150651753790782
ENST00000663753.1	0.0711878098023664	0.195463090385355	0.0792463241867163	-0.743549400622943	0.149755947843654	0.320604282707542
ENST00000670602.1	0.0678397988075263	0.110649729196194	0.161609844427287	-0.74558771219366	0.148023494653531	0.320604282707542
ENST00000652883.1	0.0678201666232787	0.149835901931345	0.0877022958889138	-0.891068317255752	0.0424461785894263	0.192073864449756
ENST00000653990.1	0.0620238556856744	0.12254978650582	0.17814631644314	-0.899565182199644	0.0376276422873121	0.18473565887957
ENST00000665856.1	0.0607382434483871	0.110236590844589	0.0326813420049096	-0.943210848260815	0.0161063624907884	0.139266086574475
ENST00000522414.2	0.0606895816681233	0.193154694600933	0.0253206245058773	-0.835364996539196	0.0781790487268433	0.231843250795269
ENST00000662766.1	0.0550811438750414	0.0814464263102924	0.0374727031526093	-0.355806367344886	0.556722258454095	0.661107681914238
ENST00000657693.1	0.054761000030818	0.167192184335479	0.0728795022265088	-0.954200131000109	0.0116848710690296	0.130307019273379
ENST00000657451.1	0.0545233966086102	0.100905492599488	0.124906285012818	-0.648950057577073	0.236091315663598	0.412269697867947
ENST00000658158.1	0.0544792373442465	0.143963870425281	0.119812476051849	-0.794484887698156	0.108326929094265	0.253318357266588
ENST00000664995.1	0.0543887795937956	0.118488865992241	0.219979772679908	-0.847904545048838	0.0695574019309739	0.220265106114751
ENST00000655594.1	0.0537515187180576	0.0974568190127421	-0.0143058116382344	-0.708718925303361	0.180240331263324	0.351237568615709
ENST00000513868.6	0.0502180681582663	0.0937441911312354	0.00308354423608437	-0.845167709378019	0.0714123815133819	0.221524122245593
ENST00000669132.1	0.0479657363846689	0.0847228784823533	0.104167561839295	-0.715385356346244	0.174280751713322	0.34478189938636
ENST00000669416.1	0.047391927914282	0.10467280587262	-0.0169323918902564	-0.932551401879379	0.0208137291421475	0.150651753790782
ENST00000657356.1	0.0434041283800797	0.0845118394054062	-0.101416054765565	-0.643491986564116	0.241394757304259	0.412269697867947
ENST00000658350.1	0.0413230627583898	0.0872839500311862	0.10698859388399	-0.833745870901302	0.0793147963246974	0.231843250795269
ENST00000665721.1	0.0410192113861145	0.1049940098775	-0.00765744853293707	-0.731007820091483	0.160543705408233	0.334282783863718
ENST00000670223.1	0.0405953934129215	0.137736600024753	0.0436313550043101	-0.943550933151245	0.0159627283226801	0.139266086574475
ENST00000667539.1	0.0329767351023223	0.100258228242074	0.101954101786763	-0.573422487014538	0.312158236087071	0.47262880438404
ENST00000668098.1	0.0327061095893102	0.045403143125522	0.15927365566594	-0.890174168426554	0.0429638907321824	0.192073864449756
ENST00000666776.1	0.0316818466319328	0.065455693017635	-0.0412256088519646	0.0904667348175647	0.884971487078403	0.921340178328201
ENST00000520913.2	0.0285105753960594	0.0695291120189244	0.124100884462824	-0.818957813188958	0.0899173190216201	0.248498772568841
