Gene	mirnaTG
ENSG00000167302.11	no
ENSG00000134590.14	yes
ENSG00000187742.15	no
ENSG00000032219.19	no
ENSG00000157500.12	yes
ENSG00000077463.15	no
ENSG00000110395.8	yes
ENSG00000126746.19	no
ENSG00000129968.17	no
ENSG00000179387.10	yes
ENSG00000132155.14	no
ENSG00000186130.5	no
ENSG00000196865.4	yes
ENSG00000114742.14	no
ENSG00000140365.16	no
ENSG00000125124.14	no
ENSG00000176101.12	no
ENSG00000140575.13	yes
ENSG00000291228.1	no
ENSG00000078699.22	yes
ENSG00000241468.8	no
ENSG00000167202.12	no
ENSG00000185716.12	no
ENSG00000188243.14	no
ENSG00000173681.17	no
ENSG00000131374.15	yes
ENSG00000105258.9	no
ENSG00000143970.18	no
ENSG00000150455.15	no
ENSG00000101350.8	no
ENSG00000158828.8	no
ENSG00000165282.15	no
ENSG00000126432.14	no
ENSG00000087299.12	no
ENSG00000120784.17	no
ENSG00000132432.14	no
ENSG00000187531.14	no
ENSG00000147162.15	yes
ENSG00000133657.17	yes
ENSG00000160294.11	no
ENSG00000205339.10	yes
ENSG00000114062.22	yes
ENSG00000067900.9	no
ENSG00000214087.9	no
ENSG00000103121.9	no
ENSG00000040199.18	yes
ENSG00000169925.17	yes
ENSG00000100503.27	yes
ENSG00000163322.14	no
ENSG00000138593.9	yes
ENSG00000170471.15	yes
ENSG00000185728.17	no
ENSG00000165516.11	no
ENSG00000114904.13	no
ENSG00000149308.17	yes
ENSG00000262919.8	no
ENSG00000163795.14	no
ENSG00000135940.7	no
ENSG00000106771.13	yes
ENSG00000157625.16	yes
ENSG00000157107.14	yes
ENSG00000103978.17	no
ENSG00000116704.8	yes
ENSG00000197712.12	no
ENSG00000114857.19	no
ENSG00000066739.12	no
ENSG00000189079.18	yes
ENSG00000105298.14	no
ENSG00000172270.22	yes
ENSG00000141279.18	yes
ENSG00000147050.18	no
ENSG00000115760.16	yes
ENSG00000198690.10	no
ENSG00000171863.15	no
ENSG00000104885.19	no
ENSG00000165886.5	no
ENSG00000258890.8	no
ENSG00000142669.15	no
ENSG00000144560.16	yes
ENSG00000175467.15	no
ENSG00000116747.13	yes
ENSG00000105701.16	no
ENSG00000198824.8	no
ENSG00000145348.17	no
ENSG00000214160.10	no
ENSG00000286599.1	no
ENSG00000134899.24	yes
ENSG00000123444.14	no
ENSG00000198752.11	no
ENSG00000181827.16	yes
ENSG00000271425.9	no
ENSG00000167548.18	no
ENSG00000176018.13	no
ENSG00000066084.13	yes
ENSG00000176340.4	no
ENSG00000163625.17	yes
ENSG00000103994.18	no
ENSG00000196313.13	no
ENSG00000108848.16	yes
ENSG00000224138.1	no
ENSG00000102898.13	no
ENSG00000099949.22	yes
ENSG00000137177.20	yes
ENSG00000176542.10	no
ENSG00000155096.15	yes
ENSG00000230590.13	no
ENSG00000213337.9	no
ENSG00000111647.13	no
ENSG00000181929.13	no
ENSG00000111897.7	yes
ENSG00000085224.23	yes
ENSG00000076928.20	no
ENSG00000148291.10	no
ENSG00000149016.16	no
ENSG00000197982.14	no
ENSG00000122970.16	no
ENSG00000140386.13	no
ENSG00000012174.12	yes
ENSG00000266173.7	no
ENSG00000170881.5	no
ENSG00000146247.15	yes
ENSG00000135617.4	no
ENSG00000135837.17	yes
ENSG00000188647.13	no
ENSG00000130731.16	no
ENSG00000240809.1	no
ENSG00000144029.14	yes
ENSG00000182400.15	no
ENSG00000070366.14	no
ENSG00000113712.19	no
ENSG00000005075.16	no
ENSG00000166595.12	no
ENSG00000249915.9	no
ENSG00000147649.10	yes
ENSG00000154945.7	no
ENSG00000172809.13	yes
ENSG00000169020.10	no
ENSG00000151413.17	no
ENSG00000182173.14	no
ENSG00000100441.10	no
ENSG00000198707.17	no
ENSG00000143198.13	yes
ENSG00000204604.13	no
ENSG00000149806.11	no
ENSG00000263001.8	yes
ENSG00000123159.16	no
ENSG00000253710.5	no
ENSG00000135968.22	no
ENSG00000132294.15	yes
ENSG00000242588.7	no
ENSG00000143774.18	no
ENSG00000103168.17	no
ENSG00000165813.20	no
ENSG00000173273.17	no
ENSG00000279089.1	no
ENSG00000154767.15	no
ENSG00000008988.11	no
ENSG00000188419.14	no
ENSG00000152433.15	no
ENSG00000150093.20	yes
ENSG00000241973.11	no
ENSG00000004700.16	no
ENSG00000103657.14	no
ENSG00000198894.8	no
ENSG00000288701.1	yes
ENSG00000174547.13	no
ENSG00000185298.13	no
ENSG00000186174.13	yes
ENSG00000064547.14	no
ENSG00000170906.16	no
ENSG00000011405.14	yes
ENSG00000104133.16	no
ENSG00000023516.9	yes
ENSG00000198538.11	no
ENSG00000257704.4	yes
ENSG00000134109.11	yes
ENSG00000196458.11	yes
ENSG00000168653.11	no
ENSG00000196914.9	yes
ENSG00000067369.14	yes
ENSG00000171163.16	no
ENSG00000142634.13	yes
ENSG00000149311.20	no
ENSG00000176986.16	yes
ENSG00000142409.6	no
ENSG00000157778.9	no
ENSG00000179454.14	no
ENSG00000127080.10	no
ENSG00000221978.13	no
ENSG00000092098.18	no
ENSG00000160218.13	yes
ENSG00000122008.16	no
ENSG00000102901.13	no
ENSG00000176994.11	no
ENSG00000135317.14	no
ENSG00000147155.11	no
ENSG00000229097.1	no
ENSG00000130522.6	yes
