file_name	ENST00000670009:1	ENST00000664214:1	ENST00000692980:1	ENST00000658840:1	ENST00000517838:6	ENST00000665372:1	ENST00000665737:1	ENST00000658305:1	ENST00000690350:1	ENST00000667305:1	ENST00000667714:1	ENST00000657289:1	ENST00000668098:1	ENST00000671092:1	ENST00000667630:1	ENST00000520913:2	ENST00000666147:1	ENST00000656999:1	ENST00000662766:1	condition	pam50_subtype
00a26384-1b1c-4db4-9664-75fb9b3febdb	111.640207	279.974885	0	115.958497	98.297809	0	0	0	0	83.259389	0	0	126.844918	68.287602	68.319923	0	0	11.667236	0	Tumor	LumA
01661d94-fc16-4456-95cf-a5fa4e1e196c	66.519177	0	0	50.200015	0	0	0	0	2.488849	17.267423	0	12.746188	0	16.914646	13.786603	0	0	4.690866	0	Tumor	Her2
02423743-43b4-494b-acd9-1cd3bcd3d395	0	21.765933	0	46.886429	26.041711	0	26.807694	0	0	0	5.741556	42.788224	0	25.338379	24.579606	0	0	13.898394	13.905436	Tumor	LumB
02bbe1b1-44ff-426b-a40e-47a01bc4cf7d	70.814774	30.980677	0	32.361822	0	0	20.21951	0	0	0	0	30.437607	0	31.329555	25.43707	0	48.567226	0	0	Tumor	Basal
0361ec21-e83f-40a9-b825-d92487b1239a	260.814824	70.381169	2.216103	88.470242	61.318579	0	43.916659	0	0	42.783147	32.715302	51.879754	0	30.929787	22.565676	0	0	16.831331	38.402079	Tumor	LumB
039eaafb-c311-45ff-9df7-30c1b0bab00a	0	24.338588	0	18.334131	24.536979	0	0	0	0	0	9.220364	0	0	2.227718	13.872865	0	0	0	0	Tumor	LumA
040e40de-4c19-423f-98dc-151e2633d085	184.009874	100.814416	20.483914	96.913063	26.788504	0	43.643523	0	3.759946	0	29.577957	0	0	26.225745	25.655206	0	0	20.816852	19.949703	Tumor	LumA
046c3754-b22c-4bce-93c7-29b9da173d33	184.861946	25.082152	0	57.283215	68.052454	0	0	0	2.926597	16.504496	42.540561	44.924822	0	58.954136	30.56903	0	0	19.721149	0	Tumor	LumB
04c428b5-d0b9-4ecf-86e8-8a42dc4cbb5e	144.967799	68.851723	2.985278	32.425463	26.510574	0	31.178022	0	0	47.232083	0	0	21.270541	33.406095	32.517365	0	0	5.509628	2.386487	Tumor	LumA
04de1f79-fdfc-4662-bab2-a3ed667c7dea	68.307293	50.08119	0	32.080178	5.858503	0	0	0	0	0	0	20.338315	0	3.861948	6.770337	0	0	12.0289	2.683855	Tumor	LumA
04ed1bfb-533f-4d97-a7e4-3e7bab103485	561.200054	68.789479	8.234221	94.005767	45.501102	0	76.161416	0	48.150018	76.173741	66.149329	53.038434	40.339421	87.139484	75.743503	0	0	31.640629	25.217209	Tumor	LumB
05b55f88-290a-4abd-bbc3-44561ba1f8b7	0	223.131997	0	71.856531	0	0	0	15.604795	0	26.748302	0	57.585321	0	46.098045	44.110688	52.082646	0	19.469154	0	Tumor	LumA
05ea028e-6b8a-4352-88aa-057494cf5e80	207.399291	82.520438	2.400066	36.704471	41.158529	0	0	0	3.676525	0	0	23.18176	11.014126	35.046326	31.180684	14.863549	0	12.377471	6.791435	Tumor	LumA
063a4886-ee4d-43a9-95c1-25a0c0b2d85d	115.072172	62.613988	0	89.587914	125.09492	0	0	0	0	0	0	27.052194	7.140005	51.714359	42.83328	0	36.120655	15.590979	0	Tumor	LumA
06ae7b4d-2906-4a38-a4ef-1cc937716dcb	77.972477	0	0	22.533986	0	0	0	74.209476	0	0	0	0	17.582118	22.481922	2.891316	32.016681	0	0	0	Tumor	LumA
06ce7b93-1264-4219-8a2f-d8f0d295e45f	111.628222	38.275403	0	41.483633	19.154082	0	21.776369	0	0	0	0	0	12.082606	45.580501	59.901093	0	28.231723	0	41.791873	Tumor	LumA
071e21e7-a494-4d87-ab48-1cb334e0d992	220.276799	88.518423	0	47.817017	0	0	0	0	0	0	0	37.312393	0	24.147116	25.633247	32.929694	0	14.049063	0	Tumor	LumA
073939c1-c857-4340-8a5f-a7b87d2349c3	0	31.51844	5.4089	67.564715	0	0	27.417472	0	0	61.307129	0	23.658483	17.091299	30.525177	42.808803	0	0	8.121805	17.456283	Tumor	Her2
081b4937-85e7-44b3-9124-a612f4f2e0ca	207.460368	90.462616	0	18.311258	0	0	0	0	9.840141	39.326074	0	0	30.796909	22.43912	13.577464	0	0	2.396418	0	Tumor	Her2
083eb05f-0af4-4f73-bf09-3806eb3b71bb	234.467305	38.392008	5.5914	32.945856	0	0	43.014518	0	0	0	21.98916	0	10.029418	49.681543	60.394573	0	0	18.768405	23.38459	Tumor	LumA
0940092b-46da-4975-bde7-f205fe12707b	259.450496	285.25056	0	336.687559	237.385506	0	0	0	0	0	0	60.788973	0	96.031658	63.747884	0	0	56.362299	43.225617	Tumor	LumA
096761b0-f4ca-448d-b78f-58469a508798	439.249727	122.62823	0	94.402724	0	0	35.001371	0	0	0	38.141995	45.527975	0	37.765078	36.874533	64.748592	0	120.080088	19.006034	Tumor	LumB
09cf8de3-bb0f-434d-8cb3-9f5eeb264b6b	0	53.09944	0	85.356796	0	0	0	4.975695	0	0	0	46.659747	0	42.439115	30.209343	0	0	13.214662	10.434128	Tumor	LumA
09f906ba-fa4b-487f-9631-fbd97d9db8f9	0	144.759709	0	0	0	0	0	0	0	0	0	0	0	5.275996	6.568928	25.292837	0	1.927506	0	Tumor	Her2
0a133c47-fae8-4e3b-8f4d-cbf357f5e2fc	0	19.973822	0	39.933481	61.61213	0	0	0	0	32.060912	0	0	0	5.859524	8.866111	0	3.932916	0	0	Tumor	LumB
