Gene	mean_raw_r_sq	best_raw_r_sq	mean_rmse	min_rmse	cor_value_R2_RMSE	cor_pvalue	cor_padj_BH	RMSE	R_squared
ENSG00000004059.11	0.0815497491069719	0.213912851680954	0.396652847837233	0.36022660242014	-0.430981553114544	0.213690171980223	0.79294464415278	0.311614972136329	0.209052786925014
ENSG00000004142.12	0.0211298803611568	0.0853465534486194	0.387942517826558	0.339038621039382	-0.137560274176457	0.704716669256189	0.962434988326949	0.178497425252186	0.312237682761603
ENSG00000007080.11	0.111713898794826	0.0866649406606419	0.544135255315641	0.471826959702132	0.0824138580526687	0.820939175407656	0.982303367108954	0.390642220896924	0.202082278923281
ENSG00000011451.21	0.057620394875553	0.293983309102419	0.35266548525278	0.292952322986271	-0.234535653609399	0.51425518863467	0.925781994802995	0.240080293004481	0.224631089602802
ENSG00000040487.13	0.0644978952054632	0.01356428669307	0.377863788518367	0.350204775016769	-0.474561702414486	0.165789368302066	0.760504811679632	0.267842356607673	0.31527961179733
ENSG00000049656.14	0.000807305080368037	-0.159507418569576	0.325597992176486	0.270886340023043	0.379702010654752	0.279148877825036	0.83796220982949	0.204182767730649	0.204341420173215
ENSG00000054116.12	0.0426477854354062	0.0828566250605253	0.289039542225698	0.258269955969168	-0.757424016752607	0.0111691431991917	0.39915754126516	0.174794503138449	0.258702452215033
ENSG00000056050.7	-0.00796824820671562	-0.0408306443940343	0.307245122778059	0.263781652060162	0.391747450090261	0.262897688896401	0.829577934886079	0.22216653289095	0.236931407309754
ENSG00000063244.14	0.0580699624661318	0.127980484245459	0.300454274902598	0.236632141926584	-0.210096091853886	0.560169439552612	0.934843552974499	0.217081956594369	0.317822791115102
ENSG00000064490.14	0.097049587747715	0.155265597438821	0.431056553494076	0.358062953382819	-0.0114491539908842	0.974958258366854	0.998656990724446	0.283100165245309	0.262236227816418
ENSG00000065978.19	0.0567411710294753	0.164929144564057	0.533423730427613	0.432361916715005	-0.562004083120848	0.0908628362374159	0.66826646385023	0.232156995910269	0.242600042181801
ENSG00000068354.16	0.0223249627877293	-0.00193836774541545	0.258480504264797	0.228910527560293	0.563055997006663	0.0901278854912796	0.66648488394362	0.208618550789395	0.209014981867711
ENSG00000068971.14	0.00874023904746214	0.0238467886180738	0.35975868569215	0.31979126030599	0.4292758166672	0.215710006076989	0.795802346718159	0.279408505689583	0.224419990431865
ENSG00000071462.13	0.0108094207603225	0.0330666149426505	0.399623211081425	0.359410480321974	-0.0243566502742704	0.946751424546909	0.995788256552477	0.249113400604371	0.217279357910288
