Gene	mean_raw_r_sq	best_raw_r_sq	mean_rmse	min_rmse	cor_value_R2_RMSE	cor_pvalue	cor_padj_BH
ENSG00000120948.19	0.209884195770755	0.544677788579572	0.160718170124992	0.129632495832917	-0.0595743117124528	0.92419252231704	0.998105269449607
ENSG00000136709.12	-0.020027027574924	-0.0300897375557199	0.167081785251799	0.139177458651015	0.719997284618432	0.170191670822346	0.935878251224614
ENSG00000165119.22	0.112442097174779	0.0320040225618944	0.164531943678775	0.14943406206221	0.082461696068062	0.895125620728789	0.996145618990607
ENSG00000166478.10	-0.0113828424433467	0.0188902157360439	0.168679954042132	0.149685563012897	-0.500564431569224	0.390379961243341	0.97425544769499
ENSG00000254999.4	0.163710198575305	0.405863254094133	0.246654419451576	0.160176879274473	-0.543812883766008	0.343425252533946	0.970445097243323
ENSG00000121774.18	0.0761648158000263	-0.0715712996321798	0.186392590499159	0.160811775905478	0.968241852953478	0.0067614035528293	0.619907966377046
ENSG00000239306.5	0.0556724966460301	0.2890334574235	0.221854168336856	0.162042895322654	-0.335739567179403	0.580695622855049	0.97659336890613
ENSG00000010244.19	0.0039254736861515	-0.00347758253192243	0.189561171500868	0.162835430827219	-0.0734907183067437	0.906513007620849	0.997729459627065
ENSG00000011275.19	0.0180874748291713	0.0111412559818913	0.233544616019608	0.166115377342204	0.223070629415902	0.718351071278321	0.980218228495986
ENSG00000083896.13	0.0337854636189679	0.136153012453759	0.206835928696209	0.169014904507353	-0.761033429475413	0.135090478656587	0.917919379429845
ENSG00000104824.18	-0.0120766792755012	-0.00420195112345256	0.197635932509934	0.169776098182244	-0.4885411630287	0.403685167498399	0.975241873796954
ENSG00000155636.16	0	0	0.191459421032324	0.170493185984845	NA	NA	NA
ENSG00000136819.15	-0.0480112426099568	-0.0752264956845334	0.269844797121419	0.172387963784398	0.579768988712894	0.305556157792023	0.965839710747981
ENSG00000250859.1	0.170592893326852	-0.00331099924304845	0.189936517294	0.172885564824078	0.371658835955022	0.537921064593911	0.976528928480504
ENSG00000106459.15	-0.00263201678426102	0	0.19039888711226	0.172988421412369	NA	NA	NA
ENSG00000144233.12	0.0373927936554425	0.212813147668017	0.239325506824441	0.173657732612317	-0.879843928805445	0.0490869427816263	0.833445417592445
ENSG00000054118.15	0.0276019839938382	0.103525058382513	0.184365553005962	0.173880643191888	0.0755271915046688	0.903927297284429	0.99743950967341
ENSG00000115234.11	-0.0109392841108186	-0.0657151915125969	0.229657013014071	0.174912477569178	0.429495107814434	0.470461319209048	0.976528928480504
ENSG00000084733.11	-0.0314900788795597	-0.0519651263243917	0.228853075075687	0.175451176737358	0.340086267288479	0.57548678496119	0.97659336890613
ENSG00000175203.17	0.056051919087741	0.0196067556964541	0.209373811383555	0.176038270358049	0.502395852956562	0.38836252731886	0.973970834254717
ENSG00000135956.9	0.190615192008996	0.525972812675804	0.219061322988215	0.176406012388573	-0.640157175751679	0.244650814335464	0.961220136135322
ENSG00000168066.22	0.021072539898963	-0.11332430967159	0.236612330086262	0.177357555624981	-0.0352067263777287	0.955182665986903	0.998105269449607
ENSG00000100811.15	-0.0191216479772871	-0.0122155338202281	0.217387398785338	0.177363690333701	-0.685708600845177	0.201240989572142	0.949244730220022
ENSG00000066044.15	0.0313882384265166	-0.0292027840385733	0.215999587585954	0.178173046202858	0.866307301430826	0.0574895116691371	0.85031319574808
ENSG00000186001.14	0.012672762260626	0.00750765547680776	0.231294781986744	0.178309657087548	-0.19783621133077	0.74976004280715	0.984849491090657
ENSG00000104064.18	-3.78697432938058e-05	0	0.241860364078837	0.178482357843983	0.38127124485704	0.526582630432702	0.976528928480504
ENSG00000081154.12	0.0085346528924386	-0.0033262043675184	0.229677854269425	0.1795686362099	0.650368979099155	0.234717872456832	0.959502137592592
ENSG00000037637.11	-0.0321818942089967	0	0.218816019470089	0.17967753500152	-0.460679396552143	0.434908177974108	0.976528928480504
ENSG00000160908.15	-0.0198106258102758	-0.00699612762890878	0.25738748604495	0.179680936836352	-0.549305679954411	0.337568646140375	0.968813012388634
ENSG00000171720.10	0.0536900015558377	-0.0815287936498357	0.224193563034514	0.18078295528446	0.488826953554908	0.403367696630207	0.975241873796954
ENSG00000117751.18	-0.0324777166313856	-0.0572457127237358	0.217407878692602	0.181098505081382	0.198805124306514	0.748550888462073	0.984718218684416
ENSG00000175110.14	0.00495124090834795	-0.000803180638737633	0.241364494854123	0.182226361194491	0.482761107930313	0.410118387061615	0.976200405126907
ENSG00000106682.16	-0.0011825418238457	0.0182866239207667	0.226079620514506	0.183228665436838	0.2103005038151	0.734224080955681	0.982881086793845
ENSG00000188529.15	-0.0115649303714306	0	0.216827783980202	0.18342531928621	-0.149225134722983	0.810708187067738	0.987560101424984
ENSG00000154813.10	0.0240636532338515	-0.0601856730821859	0.253013311857359	0.184247547500331	0.647941442672346	0.237068933127863	0.960719842033975
ENSG00000135900.4	0.00753601800116943	0.0172599577636507	0.221489606361431	0.185000231781604	-0.101643657031445	0.870806466388936	0.994327774415261
ENSG00000144021.3	0.00915007157052801	0	0.197448982540848	0.185764626833811	-0.317352419994062	0.602823101587494	0.97659336890613
ENSG00000068323.17	-0.0245826059240279	0.0381850247876344	0.287744881103456	0.185940047084618	0.0425656867579096	0.945820054642944	0.998105269449607
ENSG00000198612.11	0.131131966283869	0.420673372413283	0.232592610836513	0.186431272189439	-0.897960765723541	0.0385232772480302	0.812795091285439
ENSG00000103429.11	-0.00691667538946004	0.0628275259446384	0.237610916915067	0.187139909958022	-0.557478919937924	0.328900912933951	0.968515681309275
ENSG00000075413.19	-0.00687533424835163	0	0.228293936112095	0.187143804429608	-0.189916728656204	0.759652090504368	0.985379843033055
ENSG00000092199.19	0.0406198387264034	0.078427928933629	0.210730304102807	0.187234461137514	0.653817560468534	0.231388988616415	0.959238566041846
ENSG00000128908.19	0.00987283177830673	0.0696407774751803	0.219087438007515	0.187380722211288	-0.623268224906659	0.26131997430347	0.961593419772022
ENSG00000058272.19	-0.00711276736447233	-0.0355638368223616	0.265719145543751	0.187605797313986	NA	NA	NA
ENSG00000136715.19	0.16064013207409	-0.0249554375216319	0.242063574510198	0.188592554161646	0.81762656021477	0.0908916108346776	0.891716984925483
ENSG00000119321.10	0.0470524567001311	0.0760090746983083	0.232697493422389	0.188741521884891	0.300850144083327	0.622805230480425	0.97659336890613
ENSG00000056097.16	-0.0121062536953352	0	0.236506737635368	0.18909447794973	-0.55708629966695	0.329315991051986	0.968813012388634
ENSG00000011304.22	0.0505414856187909	-0.0662041703149643	0.224249596942058	0.189180822662187	0.529791149506102	0.358487754623165	0.971106670390886
ENSG00000144043.13	0.0574455408002205	-0.00394107365858809	0.264835070136064	0.18920641521533	0.957288199346487	0.0105281856196139	0.680716723279646
ENSG00000111540.16	0.146921246983197	0.326143726534041	0.270488966255469	0.189408379734944	-0.0478773709846601	0.939063934920144	0.998105269449607
ENSG00000142867.14	-0.0237746535289007	0	0.288604683169967	0.189992864360718	-0.576742861100651	0.308699634105131	0.965839710747981
ENSG00000089053.13	0.00486281579955028	-0.0260151889224527	0.237442379491023	0.190651064754063	0.563377171797674	0.322681219839685	0.967587489481073
