Gene	Model	Statistic
ENSG00000268836.1	LM	0.233995187422406
ENSG00000279307.2	LM	0.218948929126382
ENSG00000253605.1	LM	0.209900431082884
ENSG00000261594.4	LM	0.203667238099461
ENSG00000137225.13	LM	0.194579723526673
ENSG00000226038.5	LM	0.192273130971598
ENSG00000267523.1	LM	0.189174879582349
ENSG00000234080.3	LM	0.183513699340782
ENSG00000139914.7	LM	0.155053335417363
ENSG00000270906.1	LM	0.152524926095298
ENSG00000249780.1	LM	0.151986590198768
ENSG00000274383.1	LM	0.134479360392186
ENSG00000237080.3	LM	0.123010526946013
ENSG00000168066.22	LM	0.122953904168076
ENSG00000279805.1	LM	0.122741391869784
ENSG00000204310.13	LM	0.117557234229808
ENSG00000207554.1	LM	0.113975740081393
ENSG00000288722.1	LM	0.113578957172661
ENSG00000249119.1	LM	0.112773421671443
ENSG00000171954.13	LM	0.111900930747895
ENSG00000188959.10	LM	0.10768866702446
ENSG00000289043.1	LM	0.105997338074957
ENSG00000265511.1	LM	0.105384251065
ENSG00000120948.19	LM	0.105100402242788
ENSG00000280332.1	LM	0.10449101614226
ENSG00000237032.1	LM	0.101939264950153
ENSG00000198888.2	LM	0.101555077721131
ENSG00000198590.12	LM	0.101241898488803
ENSG00000198899.2	LM	0.100186491297021
ENSG00000230943.4	LM	0.0996932801912565
ENSG00000228253.1	LM	0.0995728088233495
ENSG00000284770.2	LM	0.0995574135485931
ENSG00000289443.1	LM	0.098849383094947
ENSG00000239149.1	LM	0.0986111790714427
ENSG00000167182.16	LM	0.0965505618813521
ENSG00000254966.1	LM	0.0956303873764088
ENSG00000100450.13	LM	0.0953067074300773
ENSG00000227719.1	LM	0.094768206395111
ENSG00000107882.12	LM	0.0944118392397165
ENSG00000198886.2	LM	0.094407375921985
ENSG00000099995.19	LM	0.0939416248818193
ENSG00000289984.1	LM	0.0933332583166745
ENSG00000236565.3	LM	0.0932440428966698
ENSG00000261326.4	LM	0.0931700042369294
ENSG00000206228.4	LM	0.0920271551320872
ENSG00000106588.12	LM	0.0918289543250882
