Gene	Model	Statistic
ENSG00000156858.12	LM	0.138915274222808
ENSG00000175826.12	LM	0.138914368255731
ENSG00000176083.18	LM	0.138834683365729
ENSG00000286067.1	LM	0.138406719403315
ENSG00000163882.10	LM	0.138308328970173
ENSG00000221983.8	LM	0.138245312943254
ENSG00000247903.1	LM	0.138138753791395
ENSG00000177311.12	LM	0.138069743477679
ENSG00000203709.14	LM	0.137993982133662
ENSG00000139908.15	LM	0.137900173358906
ENSG00000215908.12	LM	0.137652972276936
ENSG00000170515.14	LM	0.137618872589252
ENSG00000126067.12	LM	0.137364652958552
ENSG00000198841.4	LM	0.137272601536523
ENSG00000116539.14	LM	0.137236290278616
ENSG00000204524.7	LM	0.137134025610922
ENSG00000159479.17	LM	0.136967555993778
ENSG00000132661.4	LM	0.136828273558393
ENSG00000103657.14	LM	0.136553924001548
ENSG00000168653.11	LM	0.136498577932616
ENSG00000286599.1	LM	0.136349495394048
ENSG00000105856.14	LM	0.136328770448301
ENSG00000176542.10	LM	0.136326712234688
ENSG00000160214.13	LM	0.136128215643186
ENSG00000130684.14	LM	0.13611281750118
ENSG00000267904.1	LM	0.13605743547479
ENSG00000164066.13	LM	0.135978091963733
ENSG00000185219.18	LM	0.135836180155372
ENSG00000198590.12	LM	0.135821146421829
ENSG00000260565.9	LM	0.135803888523175
ENSG00000178015.5	LM	0.135773822221173
ENSG00000112081.17	LM	0.13573782041775
ENSG00000128626.12	LM	0.135731652963309
ENSG00000126756.12	LM	0.135651115473653
ENSG00000207554.1	LM	0.135456465359516
ENSG00000181929.13	LM	0.135260460575751
ENSG00000158417.11	LM	0.135041161126568
ENSG00000198840.2	LM	0.134991736467974
ENSG00000009724.18	LM	0.134896080660632
ENSG00000119725.21	LM	0.134808576384157
ENSG00000070814.22	LM	0.13466984180725
ENSG00000123144.11	LM	0.134612964774855
ENSG00000228606.4	LM	0.134401744071551
ENSG00000124177.16	LM	0.134314752157631
ENSG00000116221.15	LM	0.134208679510621
ENSG00000164713.10	LM	0.133965023692732
ENSG00000123411.15	LM	0.13393232297682
ENSG00000262919.8	LM	0.133915836947143
ENSG00000248527.1	LM	0.133873277855524
ENSG00000099901.18	LM	0.13376892057301
ENSG00000127922.10	LM	0.133722941064952
ENSG00000123136.15	LM	0.133614657012992
ENSG00000087088.21	LM	0.13356082342707
ENSG00000105671.12	LM	0.133531624807493
ENSG00000257800.1	LM	0.133247555787555
ENSG00000177192.14	LM	0.133197799138705
ENSG00000228492.2	LM	0.133194003708327
ENSG00000154518.10	LM	0.133136080394349
ENSG00000179277.9	LM	0.133071025425956
ENSG00000048707.15	LM	0.13304623411288
ENSG00000241553.13	LM	0.132883766976505
ENSG00000176994.11	LM	0.132783966799157
ENSG00000071537.14	LM	0.132618263270498
ENSG00000160563.14	LM	0.132581642877626
ENSG00000204149.16	LM	0.132574821984555
ENSG00000163918.12	LM	0.132545009205878
ENSG00000175193.14	LM	0.132525509746004
ENSG00000280138.1	LM	0.132457566715047
ENSG00000174373.17	LM	0.132456460776721
ENSG00000089916.18	LM	0.13243661393971
ENSG00000188177.15	LM	0.132424578078025
ENSG00000230216.1	LM	0.132257287427809
ENSG00000181722.18	LM	0.132225170458769
ENSG00000083097.15	LM	0.132220517243417
ENSG00000241484.10	LM	0.132188404770407
