	246330536:246330538	245764148:245764150	246335473:246335475	246355093:246355095	245928032:245928034	246326394:246326396	245858669:245858671	246327336:246327338	246417408:246417410	245915639:245915641	246483764:246483766	245749663:245749665	245953354:245953356	245814414:245814416	246053068:246053070	245863885:245863887	246186941:246186943	245929936:245929938	pam50_subtype	label
8087339c-4fdc-42e4-94ff-299a59ae88a3	0.9881889763779528	0.9678456591639872	0.8838709677419355	0.9721362229102168	0.9838187702265372	0.9857904085257548	0.981450252951096	0.9782608695652174	1.0	0.9487179487179488	1.0	0.9875565610859728	1.0	1.0	1.0	0.9807321772639692	0.9946140035906644	0.9585492227979274	LumA	Tumor
8095ebc6-d293-4668-9d83-8b3f35dd198d	1.0	0.9585635359116024	0.8085106382978723	0.9178082191780822	0.9419354838709676	0.9885057471264368	0.9212121212121211	0.978102189781022	1.0	0.948051948051948	1.0	0.9927536231884058	1.0	1.0	1.0	0.9822222222222222	1.0	0.9562841530054644	LumA	Tumor
80982d2d-ce35-4251-a545-391c0d6295d8	0.9915966386554622	0.9551282051282052	0.8	0.9875	0.9769230769230768	0.9822485207100592	0.944954128440367	0.9873417721518988	1.0	0.8901098901098901	1.0	0.9447368421052632	1.0	1.0	0.9820359281437124	0.9948186528497408	0.988095238095238	0.906832298136646	LumA	Tumor
80de2366-cd3c-4b51-9957-06ac3e152cf0	1.0	1.0	0.8857142857142857	1.0	0.9905660377358492	0.978494623655914	0.9701492537313432	0.9888888888888888	1.0	0.925	1.0	0.989010989010989	1.0	0.9887640449438202	1.0	0.9859154929577464	1.0	0.956043956043956	LumB	Tumor
81395cc8-c7d5-4ea7-957a-b5cb8d6bfd1a	0.9966887417218544	0.964549483013294	0.9070631970260224	0.96875	0.9923664122137404	0.9920424403183024	0.9646539027982328	0.98567335243553	0.9887005649717514	0.9686192468619248	1.0	0.9808853118712274	1.0	0.9969325153374232	1.0	0.984375	0.9946808510638298	0.9434889434889436	LumA	Tumor
815b70e5-858d-416d-94aa-6749960883ce	1.0	0.975	0.9117647058823528	1.0	0.988826815642458	0.9950980392156864	0.9896373056994818	0.987012987012987	0.9885057471264368	0.972972972972973	1.0	0.9901960784313726	1.0	1.0	1.0	0.994475138121547	1.0	0.961352657004831	LumB	Tumor
824f5b0a-44d4-4ccf-9277-1ef752462bb3	0.9954441913439636	0.9789325842696628	0.8869778869778869	0.9939024390243902	0.9746478873239436	0.9880546075085324	0.9686609686609686	0.9890453834115804	0.9279661016949152	0.9343971631205674	1.0	0.9905548996458088	1.0	0.9985528219971056	1.0	0.9563218390804598	0.9878682842287696	0.9543147208121828	LumB	Tumor
828c9648-f725-4d7e-ad37-e33692e2c67f	0.9923664122137404	0.9431818181818182	0.9307692307692308	0.976470588235294	0.984375	0.9743589743589745	0.9583333333333334	0.9874213836477987	1.0	0.9694656488549618	1.0	0.9953703703703703	1.0	1.0	1.0	0.9553571428571428	1.0	0.9731543624161074	Basal	Tumor
8319b13e-475e-440f-855a-bdba3036db73	1.0	0.964824120603015	0.8955223880597015	0.953125	0.9891304347826086	0.9223300970873788	0.9831460674157304	0.9603960396039604	0.9818181818181818	0.9385964912280702	1.0	0.97265625	1.0	1.0	1.0	0.9818181818181818	0.9891304347826086	0.9885057471264368	Basal	Tumor
83834ecf-bc98-416a-98c0-824229e6cfe0	0.9767441860465116	0.9878048780487804	0.851063829787234	0.9855072463768116	0.990909090909091	1.0	0.9887640449438202	0.9946808510638298	1.0	0.961038961038961	1.0	0.9904761904761904	1.0	1.0	1.0	0.9906542056074766	0.9915254237288136	0.9615384615384616	LumA	Tumor
83f93d3f-d038-4773-a671-0f218f53821c	0.9915966386554622	0.9849624060150376	0.875	0.9782608695652174	0.9699248120300752	0.9928057553956836	0.952054794520548	1.0	0.9891304347826086	0.953020134228188	1.0	0.9782608695652174	1.0	1.0	0.9928057553956836	0.9913793103448276	1.0	0.9444444444444444	Her2	Tumor
8411b896-9d24-47d3-8a28-1c9cd6313939	1.0	0.9431818181818182	0.9714285714285714	1.0	1.0	1.0	0.8896551724137931	0.9782608695652174	1.0	1.0	1.0	0.981132075471698	1.0	1.0	1.0	1.0	0.9625	0.975	Basal	Tumor
85237b9e-67a3-46a2-9c19-3818522994b2	1.0	0.933920704845815	0.9090909090909092	0.9772727272727272	0.975206611570248	0.9782608695652174	0.9585798816568049	0.9634146341463414	1.0	0.9230769230769232	1.0	0.9937106918238994	1.0	1.0	1.0	0.9536423841059604	1.0	0.9473684210526316	LumB	Tumor
8563d0ce-646e-4992-897d-5634f023ecba	0.9803921568627452	0.958974358974359	0.8378378378378378	0.961904761904762	0.9517241379310344	0.9932432432432432	0.9714285714285714	0.9571428571428572	1.0	0.9230769230769232	1.0	0.9551569506726456	1.0	0.9894736842105264	1.0	0.9583333333333334	0.9931972789115646	0.9527027027027029	Basal	Tumor
8634f872-177a-481f-ba51-62864c569001	0.9788732394366196	0.9686411149825784	0.8587570621468926	0.9773584905660376	0.978515625	0.9910714285714286	0.980701754385965	0.9879032258064516	0.88	0.9351669941060904	1.0	0.9903691813804172	0.9981949458483754	0.9981684981684982	1.0	0.9806949806949808	0.9944954128440368	0.9502572898799314	LumB	Tumor
86538c2f-7f41-4a9b-bea5-f6126772f322	1.0	0.9772079772079773	0.8504672897196262	0.9722222222222222	0.975609756097561	0.984924623115578	0.9422382671480144	0.994011976047904	1.0	0.95850622406639	1.0	0.9882352941176472	1.0	1.0	1.0	0.986784140969163	0.9948453608247424	0.9147982062780268	LumB	Tumor
876216c7-72a1-4b1e-bd2b-fcb125ca91ae	0.9534883720930232	0.9696969696969696	0.9090909090909092	1.0	1.0	1.0	0.8709677419354839	1.0	1.0	0.9830508474576272	1.0	1.0	1.0	1.0	1.0	0.9508196721311476	0.9473684210526316	0.859375	LumA	Tumor
87c074cd-bcd8-4280-a12e-b205f50e139c	0.9761904761904762	0.9454545454545454	0.9230769230769232	0.9574468085106383	0.9894736842105264	1.0	0.9411764705882352	0.9883720930232558	1.0	0.976470588235294	1.0	0.9874213836477987	1.0	1.0	1.0	0.990909090909091	1.0	0.9532710280373832	LumA	Tumor
