Gene	mirnaTG
ENSG00000102898.13	no
ENSG00000179195.16	no
ENSG00000168005.9	no
ENSG00000241370.6	no
ENSG00000240682.10	no
ENSG00000255139.2	no
ENSG00000249859.14	no
ENSG00000112078.14	yes
ENSG00000243335.10	no
ENSG00000130313.7	no
ENSG00000205544.4	no
ENSG00000100485.12	no
ENSG00000115808.13	yes
ENSG00000197566.10	no
ENSG00000187626.9	no
ENSG00000186814.15	no
ENSG00000082805.21	no
ENSG00000114735.10	no
ENSG00000144711.17	yes
ENSG00000106771.13	yes
ENSG00000129317.15	no
ENSG00000269343.9	no
ENSG00000030066.14	yes
ENSG00000100354.21	yes
ENSG00000167384.11	no
ENSG00000113119.13	no
ENSG00000111642.16	no
ENSG00000177189.14	yes
ENSG00000123636.19	no
ENSG00000174780.17	yes
ENSG00000131374.15	yes
ENSG00000174564.13	no
ENSG00000054267.22	no
ENSG00000100462.16	no
ENSG00000188636.4	no
ENSG00000160818.17	no
ENSG00000198301.12	no
ENSG00000204842.18	no
ENSG00000070423.18	no
ENSG00000101442.10	no
ENSG00000107854.7	yes
ENSG00000125995.16	no
ENSG00000176444.19	no
ENSG00000142528.16	no
ENSG00000197050.11	no
ENSG00000105701.16	no
ENSG00000103994.18	no
ENSG00000182087.14	no
ENSG00000102572.15	yes
ENSG00000125611.16	no
ENSG00000163938.17	yes
ENSG00000140382.15	yes
ENSG00000119408.17	yes
ENSG00000101181.18	no
ENSG00000124172.10	no
ENSG00000134809.9	yes
ENSG00000182606.17	no
ENSG00000166169.17	no
ENSG00000112624.14	yes
ENSG00000179085.8	no
ENSG00000126602.11	no
ENSG00000138757.15	yes
ENSG00000003056.8	yes
ENSG00000130856.18	yes
ENSG00000197702.14	yes
ENSG00000136280.17	no
ENSG00000112282.18	no
ENSG00000138182.15	no
ENSG00000157796.18	no
ENSG00000197056.11	yes
ENSG00000083168.11	no
ENSG00000181523.13	no
ENSG00000107290.14	yes
ENSG00000083097.15	no
ENSG00000160783.19	no
ENSG00000118496.5	no
ENSG00000074071.15	no
ENSG00000163156.12	no
ENSG00000088930.8	yes
ENSG00000103657.14	no
ENSG00000175193.14	no
ENSG00000134294.14	yes
ENSG00000135249.8	no
ENSG00000118276.12	no
ENSG00000179295.19	no
ENSG00000179119.15	no
ENSG00000198816.7	no
ENSG00000214029.6	no
ENSG00000182022.18	yes
ENSG00000071894.17	no
ENSG00000256294.8	no
ENSG00000102030.16	no
ENSG00000156802.13	no
ENSG00000166974.13	no
ENSG00000163602.12	no
ENSG00000157778.9	no
ENSG00000175216.15	yes
ENSG00000135940.7	no
ENSG00000113851.16	yes
ENSG00000231365.7	no
ENSG00000052795.13	no
ENSG00000100815.12	no
ENSG00000099804.9	no
ENSG00000172590.18	no
ENSG00000167325.15	yes
ENSG00000258682.1	no
ENSG00000131495.9	no
ENSG00000196387.10	no
ENSG00000162636.16	no
ENSG00000089048.15	no
ENSG00000101940.18	no
ENSG00000134982.18	yes
ENSG00000138768.15	no
ENSG00000242485.6	no
ENSG00000137601.18	no
ENSG00000070614.15	yes
ENSG00000103363.16	no
ENSG00000144426.19	no
ENSG00000150347.17	no
ENSG00000291177.1	no
ENSG00000067900.9	no
ENSG00000169299.14	no
ENSG00000146433.10	no
ENSG00000229097.1	no
ENSG00000131591.18	no
ENSG00000115274.15	no
ENSG00000117020.19	yes
ENSG00000117519.16	yes
ENSG00000135387.21	yes
ENSG00000070366.14	no
ENSG00000130159.15	no
ENSG00000176225.15	no
ENSG00000177674.16	no
ENSG00000145494.12	no
ENSG00000106692.15	no
ENSG00000174197.19	no
ENSG00000138621.12	no
ENSG00000159140.23	no
ENSG00000174028.6	no
ENSG00000136783.10	no
ENSG00000119285.11	no
ENSG00000065057.9	no
ENSG00000197321.16	no
ENSG00000235636.1	no
ENSG00000130779.22	yes
ENSG00000175467.15	no
ENSG00000153214.11	yes
ENSG00000132294.15	yes
ENSG00000180626.10	no
ENSG00000197081.16	no
ENSG00000158828.8	no
ENSG00000260267.1	no
ENSG00000269973.1	no
ENSG00000276234.5	no
ENSG00000185088.14	no
ENSG00000138190.17	no
ENSG00000173660.12	no
ENSG00000232453.7	no
ENSG00000164506.16	no
ENSG00000135617.4	no
ENSG00000186230.7	no
ENSG00000172663.9	no
ENSG00000134371.14	no
ENSG00000180479.15	no
ENSG00000133059.18	no
ENSG00000163939.19	yes
ENSG00000113273.17	no
ENSG00000074621.14	no
ENSG00000152223.16	yes
ENSG00000256043.5	no
ENSG00000088387.22	no
ENSG00000069122.19	no
ENSG00000176853.16	yes
ENSG00000122591.13	no
ENSG00000141971.14	no
ENSG00000261512.2	no
ENSG00000241468.8	no
ENSG00000179967.11	no
ENSG00000164944.12	no
ENSG00000189046.11	no
ENSG00000234420.9	no
ENSG00000112531.17	yes
ENSG00000259431.6	no
ENSG00000187736.14	no
ENSG00000187630.18	no
ENSG00000159685.11	no
ENSG00000235865.2	no
ENSG00000279159.1	no
ENSG00000119899.13	yes
ENSG00000118873.17	no
ENSG00000070831.18	yes
ENSG00000188313.13	no
ENSG00000188739.15	no
ENSG00000184432.11	yes
ENSG00000176973.8	no
ENSG00000186318.18	yes
ENSG00000196950.14	yes
ENSG00000136048.14	no
ENSG00000070018.9	no
ENSG00000267080.8	no
ENSG00000144747.17	no
ENSG00000111530.13	yes
ENSG00000154723.13	no
ENSG00000004766.17	no
ENSG00000024048.11	yes
ENSG00000234456.10	no
ENSG00000102218.6	yes
ENSG00000289106.2	no
ENSG00000165029.17	yes
ENSG00000175105.8	no
ENSG00000262333.1	no
ENSG00000015479.20	yes
ENSG00000152818.20	yes
ENSG00000174010.10	yes
ENSG00000198169.9	no
ENSG00000162191.14	no
ENSG00000111727.12	no
ENSG00000184924.6	no
ENSG00000196967.11	no
ENSG00000008128.23	no
ENSG00000118922.19	yes
ENSG00000228305.2	no
ENSG00000213397.12	no
ENSG00000152894.15	no
ENSG00000128052.10	yes
ENSG00000155096.15	yes
ENSG00000127399.15	no
ENSG00000112159.13	no
ENSG00000143479.18	no
ENSG00000109189.13	no
ENSG00000115350.12	no
ENSG00000164442.11	yes
ENSG00000004700.16	no
ENSG00000168569.8	no
ENSG00000130522.6	yes
ENSG00000132640.15	yes
ENSG00000173482.17	yes
ENSG00000262246.6	no
ENSG00000031081.11	no
ENSG00000135763.10	no
ENSG00000169241.19	no
ENSG00000188315.8	no
ENSG00000150093.20	yes
ENSG00000198546.15	no
ENSG00000064313.13	no
ENSG00000071537.14	yes
ENSG00000062370.17	no
ENSG00000173064.14	no
ENSG00000143256.5	no
ENSG00000130731.16	no
ENSG00000197982.14	no
ENSG00000180530.11	no
ENSG00000148158.17	no
ENSG00000182551.14	no
ENSG00000241685.10	no
ENSG00000115825.11	yes
ENSG00000291159.1	no
ENSG00000162585.17	no
ENSG00000166148.4	yes
ENSG00000123094.16	yes
ENSG00000068024.18	yes
ENSG00000144724.20	yes
ENSG00000184897.7	no
ENSG00000163743.14	yes
ENSG00000159917.17	no
ENSG00000116747.13	yes
ENSG00000204922.5	no
ENSG00000204920.11	no
ENSG00000131778.20	no
ENSG00000138688.17	no
ENSG00000160007.20	yes
ENSG00000175643.10	yes
ENSG00000134245.18	no
ENSG00000136205.18	yes
ENSG00000197077.14	no
ENSG00000227671.5	no
