Gene	mirnaTG
ENSG00000165138.18	no
ENSG00000276931.1	no
ENSG00000288935.1	no
ENSG00000291299.2	no
ENSG00000272849.1	no
ENSG00000167377.19	no
ENSG00000117281.16	no
ENSG00000216866.5	no
ENSG00000231925.14	no
ENSG00000260179.1	no
ENSG00000291134.1	no
ENSG00000111817.19	no
ENST00000667714:1	no
ENSG00000258365.1	no
ENSG00000226167.1	no
ENSG00000269737.2	no
ENSG00000197121.15	no
ENSG00000250608.2	no
ENSG00000290683.1	no
ENSG00000290600.1	no
ENSG00000235225.1	no
ENSG00000266236.1	no
ENSG00000279759.1	no
ENSG00000289405.2	no
ENSG00000198146.4	no
ENSG00000219410.6	no
ENSG00000237004.4	no
ENSG00000286555.1	no
ENSG00000188060.8	no
ENSG00000228606.4	no
ENSG00000279649.1	no
ENSG00000145949.12	no
ENSG00000280067.1	no
ENSG00000258458.8	no
ENSG00000121281.13	no
ENSG00000254893.6	no
ENSG00000067057.19	yes
ENSG00000236058.3	no
ENSG00000286244.1	no
ENSG00000154485.5	no
ENSG00000128311.14	no
ENSG00000279799.1	no
ENSG00000225573.4	no
ENSG00000197822.12	no
ENSG00000244161.1	no
ENSG00000213760.11	no
ENSG00000234925.2	no
ENSG00000156875.14	no
ENSG00000274308.1	no
ENSG00000228492.2	no
ENSG00000280039.1	no
ENSG00000265194.1	no
ENSG00000196730.13	no
ENSG00000178502.6	yes
ENSG00000128271.22	no
ENSG00000139351.15	no
ENSG00000072840.13	no
ENSG00000273076.1	no
ENSG00000260051.1	no
ENSG00000279569.1	no
ENSG00000131941.8	no
ENSG00000136167.15	no
ENSG00000178821.13	no
ENSG00000147488.13	no
ENSG00000162888.4	no
ENSG00000228232.1	no
ENSG00000065320.9	no
ENSG00000164236.12	yes
ENSG00000178773.15	no
ENSG00000106078.19	no
ENSG00000185518.12	no
ENSG00000229807.13	no
