"Target","Evidence"
"EP300","experimental (all) + predicted (union)"
"PTPN4","experimental (all) + predicted (union)"
"TRIM56","experimental (all) + predicted (union)"
"YEATS4","experimental (all) + predicted (union)"
"BCL2","experimental (strong) + experimental (all)"
"DNMT1","experimental (strong) + experimental (all)"
"EZH2","experimental (strong) + experimental (all)"
"HOXB5","experimental (strong) + experimental (all)"
"MALAT1","experimental (strong) + experimental (all)"
"MYC","experimental (strong) + experimental (all)"
"SEPTIN7","experimental (strong) + experimental (all)"
"TCF7L1","experimental (strong) + experimental (all)"
"TIMP2","experimental (strong) + experimental (all)"
"VAC14","experimental (strong) + experimental (all)"
"WDR37","experimental (strong) + experimental (all)"
"ZEB2","experimental (strong) + experimental (all)"
"BAP1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"CRKL","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"DLC1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ELMO2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"FSCN1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"KLF11","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"MYB","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ONECUT2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"PTEN","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"RASSF8","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"RBBP4","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"SOX2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"SP1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"VEGFA","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"WASF3","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"XIAP","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ZEB1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ZFPM2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ERBIN","experimental (strong) + experimental (all) + predicted (union)"
"HIF1A","experimental (strong) + experimental (all) + predicted (union)"
"IL4","experimental (strong) + experimental (all) + predicted (union)"
"KLHL20","experimental (strong) + experimental (all) + predicted (union)"
"OSTF1","experimental (strong) + experimental (all) + predicted (union)"
"PTPRD","experimental (strong) + experimental (all) + predicted (union)"
"RASSF2","experimental (strong) + experimental (all) + predicted (union)"
"RERE","experimental (strong) + experimental (all) + predicted (union)"
"RIN2","experimental (strong) + experimental (all) + predicted (union)"
"SHC1","experimental (strong) + experimental (all) + predicted (union)"
"A1BG","predicted (intersection) + predicted (union)"
"A1CF","predicted (intersection) + predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AASDHPPT","predicted (intersection) + predicted (union)"
"ABAT","predicted (intersection) + predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCA6","predicted (intersection) + predicted (union)"
"ABCA9","predicted (intersection) + predicted (union)"
"ABCB10","predicted (intersection) + predicted (union)"
"ABCB5","predicted (intersection) + predicted (union)"
"ABCC9","predicted (intersection) + predicted (union)"
"ABCD2","predicted (intersection) + predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABHD10","predicted (intersection) + predicted (union)"
"ABHD13","predicted (intersection) + predicted (union)"
"ABHD17B","predicted (intersection) + predicted (union)"
"ABHD3","predicted (intersection) + predicted (union)"
"ABHD5","predicted (intersection) + predicted (union)"
"ABITRAM","predicted (intersection) + predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABRA","predicted (intersection) + predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS1","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (intersection) + predicted (union)"
"ACADSB","predicted (intersection) + predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACHE","predicted (intersection) + predicted (union)"
"ACO1","predicted (intersection) + predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT9","predicted (intersection) + predicted (union)"
"ACSM2A","predicted (intersection) + predicted (union)"
"ACTC1","predicted (intersection) + predicted (union)"
"ACTR10","predicted (intersection) + predicted (union)"
"ACTR1A","predicted (intersection) + predicted (union)"
"ACTR3","predicted (intersection) + predicted (union)"
"ACTR8","predicted (intersection) + predicted (union)"
"ACVR1B","predicted (intersection) + predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2A","predicted (intersection) + predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ADAM10","predicted (intersection) + predicted (union)"
"ADAM12","predicted (intersection) + predicted (union)"
"ADAM19","predicted (intersection) + predicted (union)"
"ADAM28","predicted (intersection) + predicted (union)"
"ADAMDEC1","predicted (intersection) + predicted (union)"
"ADAMTS12","predicted (intersection) + predicted (union)"
"ADAMTS18","predicted (intersection) + predicted (union)"
"ADAMTS3","predicted (intersection) + predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTS9","predicted (intersection) + predicted (union)"
"ADAT1","predicted (intersection) + predicted (union)"
"ADCY2","predicted (intersection) + predicted (union)"
"ADCY9","predicted (intersection) + predicted (union)"
"ADCYAP1","predicted (intersection) + predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD3","predicted (intersection) + predicted (union)"
"ADGB","predicted (intersection) + predicted (union)"
"ADGRF1","predicted (intersection) + predicted (union)"
"ADGRL2","predicted (intersection) + predicted (union)"
"ADGRL3","predicted (intersection) + predicted (union)"
"ADGRL4","predicted (intersection) + predicted (union)"
"ADH1B","predicted (intersection) + predicted (union)"
"ADIPOR2","predicted (intersection) + predicted (union)"
"ADO","predicted (intersection) + predicted (union)"
"AEBP2","predicted (intersection) + predicted (union)"
"AEN","predicted (intersection) + predicted (union)"
"AFF1","predicted (intersection) + predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (intersection) + predicted (union)"
"AFF4","predicted (intersection) + predicted (union)"
"AFG1L","predicted (intersection) + predicted (union)"
"AGAP1","predicted (intersection) + predicted (union)"
"AGFG1","predicted (intersection) + predicted (union)"
"AGK","predicted (intersection) + predicted (union)"
"AGL","predicted (intersection) + predicted (union)"
"AGO1","predicted (intersection) + predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","predicted (intersection) + predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT5","predicted (intersection) + predicted (union)"
"AGPS","predicted (intersection) + predicted (union)"
"AGTPBP1","predicted (intersection) + predicted (union)"
"AHCY","predicted (intersection) + predicted (union)"
"AHNAK","predicted (intersection) + predicted (union)"
"AHR","predicted (intersection) + predicted (union)"
"AIDA","predicted (intersection) + predicted (union)"
"AIG1","predicted (intersection) + predicted (union)"
"AK2","predicted (intersection) + predicted (union)"
"AK4","predicted (intersection) + predicted (union)"
"AK9","predicted (intersection) + predicted (union)"
"AKAP12","predicted (intersection) + predicted (union)"
"AKAP13","predicted (intersection) + predicted (union)"
"AKAP2","predicted (intersection) + predicted (union)"
"AKAP5","predicted (intersection) + predicted (union)"
"AKAP6","predicted (intersection) + predicted (union)"
"AKAP7","predicted (intersection) + predicted (union)"
"AKIRIN1","predicted (intersection) + predicted (union)"
"AKNA","predicted (intersection) + predicted (union)"
"AKT2","predicted (intersection) + predicted (union)"
"ALDH1A3","predicted (intersection) + predicted (union)"
"ALDH6A1","predicted (intersection) + predicted (union)"
"ALDH7A1","predicted (intersection) + predicted (union)"
"ALG10B","predicted (intersection) + predicted (union)"
"ALG13","predicted (intersection) + predicted (union)"
"ALG2","predicted (intersection) + predicted (union)"
"ALG8","predicted (intersection) + predicted (union)"
"ALKAL2","predicted (intersection) + predicted (union)"
"ALX1","predicted (intersection) + predicted (union)"
"AMACR","predicted (intersection) + predicted (union)"
"AMBRA1","predicted (intersection) + predicted (union)"
"AMDHD1","predicted (intersection) + predicted (union)"
"AMER2","predicted (intersection) + predicted (union)"
"AMER3","predicted (intersection) + predicted (union)"
"AMFR","predicted (intersection) + predicted (union)"
"AMMECR1L","predicted (intersection) + predicted (union)"
"AMOT","predicted (intersection) + predicted (union)"
"AMOTL2","predicted (intersection) + predicted (union)"
"ANAPC13","predicted (intersection) + predicted (union)"
"ANAPC7","predicted (intersection) + predicted (union)"
"ANG","predicted (intersection) + predicted (union)"
"ANGEL2","predicted (intersection) + predicted (union)"
"ANGPTL3","predicted (intersection) + predicted (union)"
"ANK3","predicted (intersection) + predicted (union)"
"ANKEF1","predicted (intersection) + predicted (union)"
"ANKH","predicted (intersection) + predicted (union)"
"ANKMY1","predicted (intersection) + predicted (union)"
"ANKMY2","predicted (intersection) + predicted (union)"
"ANKRD13C","predicted (intersection) + predicted (union)"
"ANKRD17","predicted (intersection) + predicted (union)"
"ANKRD27","predicted (intersection) + predicted (union)"
"ANKRD28","predicted (intersection) + predicted (union)"
"ANKRD34B","predicted (intersection) + predicted (union)"
"ANKRD42","predicted (intersection) + predicted (union)"
"ANKRD44","predicted (intersection) + predicted (union)"
"ANKRD45","predicted (intersection) + predicted (union)"
"ANKRD46","predicted (intersection) + predicted (union)"
"ANKRD52","predicted (intersection) + predicted (union)"
"ANKRD6","predicted (intersection) + predicted (union)"
"ANKS1B","predicted (intersection) + predicted (union)"
"ANLN","predicted (intersection) + predicted (union)"
"ANO1","predicted (intersection) + predicted (union)"
"ANO3","predicted (intersection) + predicted (union)"
"ANO5","predicted (intersection) + predicted (union)"
"ANO6","predicted (intersection) + predicted (union)"
"ANO8","predicted (intersection) + predicted (union)"
"ANOS1","predicted (intersection) + predicted (union)"
"ANP32B","predicted (intersection) + predicted (union)"
"ANP32E","predicted (intersection) + predicted (union)"
"AP1AR","predicted (intersection) + predicted (union)"
"AP1M1","predicted (intersection) + predicted (union)"
"AP1S2","predicted (intersection) + predicted (union)"
"AP1S3","predicted (intersection) + predicted (union)"
"AP3B2","predicted (intersection) + predicted (union)"
"AP4E1","predicted (intersection) + predicted (union)"
"AP4S1","predicted (intersection) + predicted (union)"
"AP5M1","predicted (intersection) + predicted (union)"
"AP5S1","predicted (intersection) + predicted (union)"
"APAF1","predicted (intersection) + predicted (union)"
"APBB2","predicted (intersection) + predicted (union)"
"APLP2","predicted (intersection) + predicted (union)"
"APOC3","predicted (intersection) + predicted (union)"
"APOLD1","predicted (intersection) + predicted (union)"
"APOO","predicted (intersection) + predicted (union)"
"APOOL","predicted (intersection) + predicted (union)"
"APP","predicted (intersection) + predicted (union)"
"APPL1","predicted (intersection) + predicted (union)"
"APTX","predicted (intersection) + predicted (union)"
"AQP4","predicted (intersection) + predicted (union)"
"AQR","predicted (intersection) + predicted (union)"
"ARF6","predicted (intersection) + predicted (union)"
"ARFGEF2","predicted (intersection) + predicted (union)"
"ARFGEF3","predicted (intersection) + predicted (union)"
"ARGLU1","predicted (intersection) + predicted (union)"
"ARHGAP18","predicted (intersection) + predicted (union)"
"ARHGAP19","predicted (intersection) + predicted (union)"
"ARHGAP20","predicted (intersection) + predicted (union)"
"ARHGAP28","predicted (intersection) + predicted (union)"
"ARHGAP29","predicted (intersection) + predicted (union)"
"ARHGAP31","predicted (intersection) + predicted (union)"
"ARHGAP5","predicted (intersection) + predicted (union)"
"ARHGEF1","predicted (intersection) + predicted (union)"
"ARHGEF10","predicted (intersection) + predicted (union)"
"ARHGEF12","predicted (intersection) + predicted (union)"
"ARHGEF17","predicted (intersection) + predicted (union)"
"ARHGEF26","predicted (intersection) + predicted (union)"
"ARHGEF3","predicted (intersection) + predicted (union)"
"ARHGEF5","predicted (intersection) + predicted (union)"
"ARHGEF6","predicted (intersection) + predicted (union)"
"ARHGEF7","predicted (intersection) + predicted (union)"
"ARHGEF9","predicted (intersection) + predicted (union)"
"ARID2","predicted (intersection) + predicted (union)"
"ARID4B","predicted (intersection) + predicted (union)"
"ARID5B","predicted (intersection) + predicted (union)"
"ARIH1","predicted (intersection) + predicted (union)"
"ARIH2","predicted (intersection) + predicted (union)"
"ARL1","predicted (intersection) + predicted (union)"
"ARL10","predicted (intersection) + predicted (union)"
"ARL14EPL","predicted (intersection) + predicted (union)"
"ARL17A","predicted (intersection) + predicted (union)"
"ARL17B","predicted (intersection) + predicted (union)"
"ARL3","predicted (intersection) + predicted (union)"
"ARL4A","predicted (intersection) + predicted (union)"
"ARL4C","predicted (intersection) + predicted (union)"
"ARL5A","predicted (intersection) + predicted (union)"
"ARL5B","predicted (intersection) + predicted (union)"
"ARL6IP5","predicted (intersection) + predicted (union)"
"ARMC10","predicted (intersection) + predicted (union)"
"ARMC2","predicted (intersection) + predicted (union)"
"ARMC8","predicted (intersection) + predicted (union)"
"ARMH4","predicted (intersection) + predicted (union)"
"ARNT","predicted (intersection) + predicted (union)"
"ARNTL2","predicted (intersection) + predicted (union)"
"ARPC1A","predicted (intersection) + predicted (union)"
"ARPC5","predicted (intersection) + predicted (union)"
"ARPP21","predicted (intersection) + predicted (union)"
"ARRDC3","predicted (intersection) + predicted (union)"
"ARSJ","predicted (intersection) + predicted (union)"
"ARSK","predicted (intersection) + predicted (union)"
"AS3MT","predicted (intersection) + predicted (union)"
"ASAP1","predicted (intersection) + predicted (union)"
"ASB1","predicted (intersection) + predicted (union)"
"ASB13","predicted (intersection) + predicted (union)"
"ASB15","predicted (intersection) + predicted (union)"
"ASB4","predicted (intersection) + predicted (union)"
"ASB5","predicted (intersection) + predicted (union)"
"ASCC3","predicted (intersection) + predicted (union)"
"ASF1A","predicted (intersection) + predicted (union)"
"ASPH","predicted (intersection) + predicted (union)"
"ASRGL1","predicted (intersection) + predicted (union)"
"ASTN2","predicted (intersection) + predicted (union)"
"ASXL1","predicted (intersection) + predicted (union)"
"ASXL2","predicted (intersection) + predicted (union)"
"ASXL3","predicted (intersection) + predicted (union)"
"ATAD2B","predicted (intersection) + predicted (union)"
"ATCAY","predicted (intersection) + predicted (union)"
"ATF3","predicted (intersection) + predicted (union)"
"ATF7","predicted (intersection) + predicted (union)"
"ATF7IP","predicted (intersection) + predicted (union)"
"ATG4C","predicted (intersection) + predicted (union)"
"ATL2","predicted (intersection) + predicted (union)"
"ATL3","predicted (intersection) + predicted (union)"
"ATM","predicted (intersection) + predicted (union)"
"ATMIN","predicted (intersection) + predicted (union)"
"ATP11B","predicted (intersection) + predicted (union)"
"ATP11C","predicted (intersection) + predicted (union)"
"ATP1B3","predicted (intersection) + predicted (union)"
"ATP2A2","predicted (intersection) + predicted (union)"
"ATP2B1","predicted (intersection) + predicted (union)"
"ATP2C1","predicted (intersection) + predicted (union)"
"ATP5F1B","predicted (intersection) + predicted (union)"
"ATP5MF-PTCD1","predicted (intersection) + predicted (union)"
"ATP5PB","predicted (intersection) + predicted (union)"
"ATP6V0A2","predicted (intersection) + predicted (union)"
"ATP8A1","predicted (intersection) + predicted (union)"
"ATRN","predicted (intersection) + predicted (union)"
"ATRNL1","predicted (intersection) + predicted (union)"
"ATRX","predicted (intersection) + predicted (union)"
"ATXN1","predicted (intersection) + predicted (union)"
"ATXN7","predicted (intersection) + predicted (union)"
"ATXN7L1","predicted (intersection) + predicted (union)"
"AUTS2","predicted (intersection) + predicted (union)"
"AVL9","predicted (intersection) + predicted (union)"
"AZIN1","predicted (intersection) + predicted (union)"
"B3GALNT1","predicted (intersection) + predicted (union)"
"B3GALT1","predicted (intersection) + predicted (union)"
"B3GALT5","predicted (intersection) + predicted (union)"
"B3GAT1","predicted (intersection) + predicted (union)"
"B3GAT2","predicted (intersection) + predicted (union)"
"B3GLCT","predicted (intersection) + predicted (union)"
"B3GNT2","predicted (intersection) + predicted (union)"
"B3GNT5","predicted (intersection) + predicted (union)"
"B4GALT6","predicted (intersection) + predicted (union)"
"B4GAT1","predicted (intersection) + predicted (union)"
"BACE2","predicted (intersection) + predicted (union)"
"BACH2","predicted (intersection) + predicted (union)"
"BAG2","predicted (intersection) + predicted (union)"
"BAG5","predicted (intersection) + predicted (union)"
"BAG6","predicted (intersection) + predicted (union)"
"BARD1","predicted (intersection) + predicted (union)"
"BASP1","predicted (intersection) + predicted (union)"
"BAZ2B","predicted (intersection) + predicted (union)"
"BBS10","predicted (intersection) + predicted (union)"
"BBS12","predicted (intersection) + predicted (union)"
"BCAP29","predicted (intersection) + predicted (union)"
"BCAS4","predicted (intersection) + predicted (union)"
"BCDIN3D","predicted (intersection) + predicted (union)"
"BCL11B","predicted (intersection) + predicted (union)"
"BCL2L13","predicted (intersection) + predicted (union)"
"BCL7C","predicted (intersection) + predicted (union)"
"BCLAF3","predicted (intersection) + predicted (union)"
"BDP1","predicted (intersection) + predicted (union)"
"BEND4","predicted (intersection) + predicted (union)"
"BET1","predicted (intersection) + predicted (union)"
"BET1L","predicted (intersection) + predicted (union)"
"BHLHE22","predicted (intersection) + predicted (union)"
"BHLHE41","predicted (intersection) + predicted (union)"
"BICC1","predicted (intersection) + predicted (union)"
"BICD1","predicted (intersection) + predicted (union)"
"BICD2","predicted (intersection) + predicted (union)"
"BICRAL","predicted (intersection) + predicted (union)"
"BIN3","predicted (intersection) + predicted (union)"
"BLCAP","predicted (intersection) + predicted (union)"
"BLOC1S5","predicted (intersection) + predicted (union)"
"BLOC1S6","predicted (intersection) + predicted (union)"
"BLZF1","predicted (intersection) + predicted (union)"
"BMI1","predicted (intersection) + predicted (union)"
"BMP10","predicted (intersection) + predicted (union)"
"BMP2","predicted (intersection) + predicted (union)"
"BMP8B","predicted (intersection) + predicted (union)"
"BMPER","predicted (intersection) + predicted (union)"
"BMPR1A","predicted (intersection) + predicted (union)"
"BMS1","predicted (intersection) + predicted (union)"
"BMT2","predicted (intersection) + predicted (union)"
"BNC2","predicted (intersection) + predicted (union)"
"BNIP3","predicted (intersection) + predicted (union)"
"BOD1L2","predicted (intersection) + predicted (union)"
"BOLL","predicted (intersection) + predicted (union)"
"BORCS5","predicted (intersection) + predicted (union)"
"BORCS7","predicted (intersection) + predicted (union)"
"BPTF","predicted (intersection) + predicted (union)"
"BPY2","predicted (intersection) + predicted (union)"
"BPY2B","predicted (intersection) + predicted (union)"
"BPY2C","predicted (intersection) + predicted (union)"
"BRAP","predicted (intersection) + predicted (union)"
"BRCC3","predicted (intersection) + predicted (union)"
"BRD4","predicted (intersection) + predicted (union)"
"BRIX1","predicted (intersection) + predicted (union)"
"BRMS1L","predicted (intersection) + predicted (union)"
"BROX","predicted (intersection) + predicted (union)"
"BRWD1","predicted (intersection) + predicted (union)"
"BRWD3","predicted (intersection) + predicted (union)"
"BTBD1","predicted (intersection) + predicted (union)"
"BTBD11","predicted (intersection) + predicted (union)"
"BTBD18","predicted (intersection) + predicted (union)"
"BTBD7","predicted (intersection) + predicted (union)"
"BTBD9","predicted (intersection) + predicted (union)"
"BTD","predicted (intersection) + predicted (union)"
"BTF3","predicted (intersection) + predicted (union)"
"BTF3L4","predicted (intersection) + predicted (union)"
"BTLA","predicted (intersection) + predicted (union)"
"BTN2A1","predicted (intersection) + predicted (union)"
"BTRC","predicted (intersection) + predicted (union)"
"BUB3","predicted (intersection) + predicted (union)"
"BYSL","predicted (intersection) + predicted (union)"
"BZW1","predicted (intersection) + predicted (union)"
"C11orf1","predicted (intersection) + predicted (union)"
"C11orf72","predicted (intersection) + predicted (union)"
"C11orf87","predicted (intersection) + predicted (union)"
"C11orf98","predicted (intersection) + predicted (union)"
"C12orf4","predicted (intersection) + predicted (union)"
"C12orf49","predicted (intersection) + predicted (union)"
"C12orf66","predicted (intersection) + predicted (union)"
"C14orf39","predicted (intersection) + predicted (union)"
"C15orf40","predicted (intersection) + predicted (union)"
"C15orf61","predicted (intersection) + predicted (union)"
"C16orf72","predicted (intersection) + predicted (union)"
"C16orf87","predicted (intersection) + predicted (union)"
"C17orf75","predicted (intersection) + predicted (union)"
"C18orf54","predicted (intersection) + predicted (union)"
"C18orf63","predicted (intersection) + predicted (union)"
"C19orf12","predicted (intersection) + predicted (union)"
"C19orf44","predicted (intersection) + predicted (union)"
"C19orf54","predicted (intersection) + predicted (union)"
"C1GALT1","predicted (intersection) + predicted (union)"
"C1orf109","predicted (intersection) + predicted (union)"
"C1orf21","predicted (intersection) + predicted (union)"
"C1orf50","predicted (intersection) + predicted (union)"
"C1QBP","predicted (intersection) + predicted (union)"
"C1QTNF7","predicted (intersection) + predicted (union)"
"C20orf194","predicted (intersection) + predicted (union)"
"C2CD2L","predicted (intersection) + predicted (union)"
"C2CD6","predicted (intersection) + predicted (union)"
"C2orf42","predicted (intersection) + predicted (union)"
"C2orf49","predicted (intersection) + predicted (union)"
"C2orf68","predicted (intersection) + predicted (union)"
"C2orf69","predicted (intersection) + predicted (union)"
"C2orf72","predicted (intersection) + predicted (union)"
"C2orf73","predicted (intersection) + predicted (union)"
"C4orf3","predicted (intersection) + predicted (union)"
"C4orf33","predicted (intersection) + predicted (union)"
"C4orf36","predicted (intersection) + predicted (union)"
"C4orf46","predicted (intersection) + predicted (union)"
"C4orf47","predicted (intersection) + predicted (union)"
"C4orf54","predicted (intersection) + predicted (union)"
"C5orf22","predicted (intersection) + predicted (union)"
"C5orf24","predicted (intersection) + predicted (union)"
"C5orf63","predicted (intersection) + predicted (union)"
"C5orf64","predicted (intersection) + predicted (union)"
"C6orf120","predicted (intersection) + predicted (union)"
"C6orf222","predicted (intersection) + predicted (union)"
"C6orf62","predicted (intersection) + predicted (union)"
