"Target","Evidence"
"ALDOA","experimental (all)"
"ALG10B","predicted (intersection) + predicted (union)"
"ALG13","predicted (union)"
"ALG14","predicted (intersection) + predicted (union)"
"ALG2","predicted (intersection) + predicted (union)"
"ALG6","predicted (union)"
"ALKAL1","predicted (union)"
"ALKBH1","predicted (intersection) + predicted (union)"
"ALKBH8","predicted (union)"
"ALOX12-AS1","predicted (union)"
"ALOX5AP","predicted (union)"
"ALX1","predicted (intersection) + predicted (union)"
"ALX4","predicted (intersection) + predicted (union)"
"AMACR","predicted (intersection) + predicted (union)"
"AMER2","predicted (intersection) + predicted (union)"
"AMIGO1","predicted (intersection) + predicted (union)"
"AMIGO2","predicted (intersection) + predicted (union)"
"AMMECR1","predicted (intersection) + predicted (union)"
"AMOT","predicted (union)"
"AMPD3","predicted (union)"
"ANAPC1","predicted (union)"
"ANAPC13","predicted (union)"
"ANAPC4","predicted (union)"
"ANAPC5","predicted (union)"
"ANAPC7","predicted (union)"
"ANGEL1","predicted (intersection) + predicted (union)"
"ANGEL2","predicted (union)"
"ANGPT2","predicted (intersection) + predicted (union)"
"ANGPTL1","predicted (union)"
"ANGPTL3","predicted (intersection) + predicted (union)"
"ANK2","predicted (union)"
"ANK3","predicted (union)"
"ANKDD1B","predicted (union)"
"ANKEF1","predicted (intersection) + predicted (union)"
"ANKFY1","predicted (union)"
"ANKH","predicted (union)"
"ANKHD1","predicted (union)"
"ANKIB1","predicted (union)"
"ANKMY1","predicted (intersection) + predicted (union)"
"ANKMY2","predicted (union)"
"ANKRA2","predicted (union)"
"ANKRD10","predicted (union)"
"ANKRD12","predicted (union)"
"ANKRD13A","predicted (union)"
"ANKRD13C","predicted (union)"
"ANKRD22","predicted (union)"
"ANKRD31","predicted (union)"
"ANKRD33B","predicted (union)"
"ANKRD34B","predicted (union)"
"ANKRD34C","predicted (intersection) + predicted (union)"
"ANKRD40","predicted (union)"
"ANKRD44","predicted (union)"
"ANKRD49","predicted (union)"
"ANKRD50","predicted (union)"
"ANKRD52","predicted (union)"
"ANKRD63","predicted (intersection) + predicted (union)"
"ANKRD66","predicted (union)"
"ANKS4B","predicted (union)"
"ANLN","predicted (union)"
"ANO1","predicted (union)"
"ANO3","predicted (intersection) + predicted (union)"
"ANO5","predicted (intersection) + predicted (union)"
"ANO6","predicted (union)"
"ANOS1","predicted (union)"
"ANP32B","predicted (intersection) + predicted (union)"
"ANP32E","predicted (union)"
"ANTXR1","predicted (intersection) + predicted (union)"
"ANXA11","predicted (union)"
"ANXA13","predicted (union)"
"ANXA4","predicted (union)"
"ANXA6","predicted (union)"
"ANXA7","predicted (union)"
"ANXA9","predicted (union)"
"AOPEP","predicted (union)"
"AP1AR","predicted (intersection) + predicted (union)"
"AP1S1","predicted (union)"
"AP1S2","predicted (intersection) + predicted (union)"
"AP1S3","predicted (union)"
"AP3B1","predicted (union)"
"AP3M1","predicted (union)"
"AP3S2","predicted (union)"
"AP4B1","predicted (intersection) + predicted (union)"
"AP4E1","predicted (intersection) + predicted (union)"
"AP5B1","predicted (intersection) + predicted (union)"
"AP5M1","predicted (intersection) + predicted (union)"
"AP5S1","predicted (intersection) + predicted (union)"
"APAF1","predicted (union)"
"APBB2","predicted (intersection) + predicted (union)"
"APCDD1","predicted (union)"
"APH1B","predicted (intersection) + predicted (union)"
"APLF","predicted (union)"
"APLNR","predicted (union)"
"APOA1","predicted (union)"
"APOB","predicted (union)"
"APOBEC3B","predicted (intersection) + predicted (union)"
"APOBEC3F","predicted (intersection) + predicted (union)"
"APOBEC3G","predicted (union)"
"APOBEC4","predicted (intersection) + predicted (union)"
"APOC3","predicted (intersection) + predicted (union)"
"APOF","predicted (union)"
"APOL3","predicted (union)"
"APOL4","predicted (union)"
"APOL6","experimental (all) + predicted (intersection) + predicted (union)"
"APOLD1","predicted (intersection) + predicted (union)"
"APOOL","predicted (intersection) + predicted (union)"
"APP","predicted (intersection) + predicted (union)"
"APPBP2","predicted (intersection) + predicted (union)"
