"Target","Evidence"
"ALOX5AP","predicted (union)"
"ALX3","predicted (union)"
"AMD1","predicted (intersection) + predicted (union)"
"AMER2","predicted (intersection) + predicted (union)"
"AMER3","predicted (union)"
"AMIGO1","predicted (intersection) + predicted (union)"
"AMMECR1","predicted (intersection) + predicted (union)"
"AMMECR1L","predicted (union)"
"AMOT","predicted (intersection) + predicted (union)"
"AMOTL2","predicted (union)"
"AMZ1","predicted (union)"
"ANAPC16","predicted (union)"
"ANGEL1","predicted (intersection) + predicted (union)"
"ANGPT2","predicted (union)"
"ANKEF1","predicted (union)"
"ANKFY1","predicted (intersection) + predicted (union)"
"ANKH","predicted (union)"
"ANKHD1","predicted (union)"
"ANKIB1","predicted (union)"
"ANKRD13B","predicted (union)"
"ANKRD13C","predicted (union)"
"ANKRD20A2","predicted (union)"
"ANKRD20A4","predicted (union)"
"ANKRD23","predicted (union)"
"ANKRD29","predicted (union)"
"ANKRD33","predicted (union)"
"ANKRD33B","predicted (union)"
"ANKRD34C","predicted (union)"
"ANKRD39","predicted (union)"
"ANKRD40","predicted (union)"
"ANKRD42","predicted (union)"
"ANKRD45","predicted (union)"
"ANKRD49","predicted (intersection) + predicted (union)"
"ANKRD6","predicted (union)"
"ANKS1A","predicted (union)"
"ANKS1B","predicted (union)"
"ANKS4B","predicted (intersection) + predicted (union)"
"ANO3","predicted (union)"
"ANO6","predicted (union)"
"ANP32E","predicted (union)"
"ANTXR1","predicted (intersection) + predicted (union)"
"ANXA11","predicted (union)"
"ANXA6","predicted (union)"
"AP1AR","predicted (union)"
"AP1G1","predicted (union)"
"AP3B2","predicted (union)"
"AP3S2","predicted (union)"
"AP4E1","predicted (union)"
"AP4S1","predicted (union)"
"AP5M1","predicted (union)"
"APAF1","predicted (union)"
"APCDD1","predicted (union)"
"API5","predicted (intersection) + predicted (union)"
"APLF","predicted (union)"
"APOA1","predicted (union)"
"APOB","predicted (union)"
"APOL6","predicted (union)"
"APOLD1","predicted (union)"
"APOOL","predicted (union)"
"APP","predicted (union)"
"APPL1","predicted (intersection) + predicted (union)"
"AQP11","predicted (union)"
"AR","predicted (union)"
"ARAF","predicted (union)"
"AREG","predicted (union)"
"AREL1","predicted (union)"
"ARF6","predicted (intersection) + predicted (union)"
"ARFGEF3","predicted (intersection) + predicted (union)"
"ARG2","predicted (union)"
"ARHGAP20","predicted (union)"
"ARHGAP28","predicted (union)"
"ARHGAP29","predicted (union)"
"ARHGAP31","predicted (union)"
"ARHGAP32","predicted (union)"
"ARHGAP5","predicted (union)"
"ARHGEF11","predicted (union)"
"ARHGEF12","predicted (union)"
"ARHGEF18","predicted (intersection) + predicted (union)"
"ARHGEF3","predicted (union)"
"ARHGEF38","predicted (union)"
"ARHGEF39","predicted (intersection) + predicted (union)"
"ARHGEF5","predicted (intersection) + predicted (union)"
"ARHGEF6","predicted (union)"
"ARHGEF7","predicted (intersection) + predicted (union)"
"ARHGEF9","predicted (union)"
"ARID1A","predicted (intersection) + predicted (union)"
"ARID2","predicted (union)"
"ARID3A","predicted (union)"
"ARID4B","predicted (intersection) + predicted (union)"
"ARL10","predicted (intersection) + predicted (union)"
"ARL13B","predicted (union)"
"ARL17A","predicted (intersection) + predicted (union)"
"ARL17B","predicted (intersection) + predicted (union)"
"ARL2BP","predicted (union)"
"ARL5A","predicted (union)"
"ARL5B","predicted (intersection) + predicted (union)"
"ARL6","predicted (union)"
"ARL6IP1","predicted (union)"
"ARL6IP5","predicted (union)"
"ARMC1","predicted (union)"
"ARMC10","predicted (intersection) + predicted (union)"
