Gene	mean_raw_r_sq	best_raw_r_sq	mean_rmse	min_rmse	cor_value_R2_RMSE	cor_pvalue	cor_padj_BH	mirnaTG
ENSG00000197535.16	0.0972166059177134	0.296953629021416	0.478596670135954	0.397879992436712	-0.416492005064542	0.231194734400815	0.807484800728066	yes
ENSG00000126432.14	0.130414772777559	0.267582864237008	0.453897588362849	0.398473877836635	-0.44996789547328	0.191944961095363	0.780647391120352	no
ENSG00000119285.11	0.100561599148623	0.217610992322072	0.517299546873072	0.399306851218108	-0.328506420519208	0.354049512088867	0.873564437688015	no
ENSG00000217128.13	0.135690176107327	0.294823448788017	0.496225892054355	0.399373023516714	-0.405597672781852	0.244872492623187	0.816901898208394	yes
ENSG00000213839.4	0.0993185187326792	0.270237992074069	0.478696722743255	0.399850885155294	-0.443321227688588	0.199403436790988	0.784707806774847	no
ENSG00000145592.14	0.125019026495494	0.245548418450286	0.456599147564688	0.401375323799546	-0.404599423954972	0.246147880497623	0.818263189279797	no
ENSG00000143793.13	0.088912847830254	0.222387878994061	0.480010867731296	0.402790656396933	-0.483240350078792	0.157100161693687	0.753243497200187	no
ENSG00000223546.9	0.13230402273134	0.223245009614061	0.479310652960504	0.403100091457927	-0.356013820335063	0.312647016116044	0.854798265247931	no
ENSG00000291202.1	0.0531361939812014	0.274702047058804	0.486633393181804	0.405334027093847	-0.271487327137314	0.447991737500977	0.907655152725638	no
ENSG00000233330.1	0.0356733090134678	0.261904765213326	0.628005548025462	0.40603748670656	-0.724936382674507	0.017688037661866	0.453676580632064	no
ENSG00000102189.17	0.123605550227431	0.205682283884565	0.493843975938261	0.406827646033717	-0.0837156324303754	0.818150083202163	0.981701972534761	no
ENSG00000063177.13	0.131554912372002	0.213612381558204	0.465959094074645	0.407421213998617	-0.283700905590543	0.426987746037592	0.900887737910283	no
ENSG00000158716.9	0.0842952575316734	0.225986548050638	0.515689664082337	0.40969784436774	-0.483140424731465	0.157198609531792	0.753243497200187	no
ENSG00000111897.7	0.091445379048753	0.210783500658618	0.458921524489935	0.410186355818658	-0.422647951568453	0.22366183455281	0.800422991743818	yes
ENSG00000213465.8	0.105420303421929	0.233469918751572	0.455090030476171	0.410808103094375	-0.181045945942484	0.616689879076111	0.94791038815243	no
ENSG00000164463.12	0.0863895141624872	0.204039294079069	0.490679314682468	0.41155594377235	-0.594223191552629	0.0700546887706425	0.63162229613187	no
ENSG00000184897.7	0.0953609696145684	0.27338218688546	0.514614020890563	0.411885314834184	-0.074962522150248	0.836937848897316	0.984982555700577	no
ENSG00000127603.32	0.14533027824279	0.251636623873072	0.465648541530828	0.411928888806249	-0.769423404417507	0.00926252951264938	0.369776684075565	yes
ENSG00000188167.9	0.143886867757335	0.283321929446571	0.523021098932421	0.41223976243175	-0.176317958241584	0.626072976451084	0.949067912070219	no
ENSG00000123136.15	0.124263412972847	0.20151927440196	0.494278268655331	0.41332874466756	-0.608246385246481	0.0620682325582385	0.611565427262388	no
ENSG00000176994.11	0.17609981893476	0.283666688606452	0.471821621790111	0.413588354933859	-0.320043120506616	0.367315143039746	0.878852679086395	no
ENSG00000010404.18	0.101185281321968	0.226669537479534	0.515851115475831	0.413751223929219	-0.539193679537842	0.107749422906812	0.688892413863981	yes
