Gene	mean_raw_r_sq	best_raw_r_sq	mean_rmse	min_rmse	cor_value_R2_RMSE	cor_pvalue	cor_padj_BH
ENSG00000172269.20	0.00291739325776545	0	0.391823822857984	0.280048905417079	-0.625390324118988	0.259209323942062	0.908006919310229
ENSG00000039123.16	0.10574520411172	0.091958348771046	0.345559472816498	0.280087078013921	-0.50362061429305	0.387014754123652	0.950378126064129
ENSG00000126756.12	-0.0302838349188795	2.22044604925031e-16	0.33566408446628	0.280135144427647	0.133637828932978	0.830354859277782	0.984731025558473
ENSG00000118518.17	-0.0015574553348884	-0.0104735651413872	0.297513755810515	0.280230676807642	0.311416633989953	0.609997559513356	0.96775662954152
ENSG00000168152.13	0.0198676647033145	0.11726362878456	0.348244324805595	0.280244045985224	-0.677598155849304	0.208796590535686	0.897651140999188
ENSG00000066427.25	-0.00429887501845607	0	0.302550292619545	0.280261354693709	-0.00108441388975275	0.998619281623317	0.999444230372742
ENSG00000144028.15	-0.0377846153720455	-0.185160551396546	0.332923158781728	0.280266994579776	0.522645237644768	0.366224592733079	0.946565753394284
ENSG00000143294.15	0.14999861770081	0.199298899177165	0.337228638719177	0.280269541809403	-0.152728362320131	0.80629887023129	0.983240980264633
ENSG00000140553.18	0.0880521293305811	0.18016059664371	0.35283981716543	0.280294481801003	-0.931993568745009	0.0210706686283694	0.678164039379617
ENSG00000105393.16	0.0437239190887546	0.179641478392345	0.364954446291897	0.280393680860262	-0.514694944787206	0.374879137904542	0.948089053270145
ENSG00000185753.13	-0.0185957094651116	0	0.367945486609939	0.280411658983594	-0.4770494462446	0.416498520772738	0.952813255623245
ENSG00000185359.14	0.107556622507818	0.235011963371198	0.373710605059816	0.280411723569646	-0.663633278400831	0.221985998743224	0.901798157124676
ENSG00000111731.13	-3.99302191040007e-05	-0.00105070195091606	0.361962889025259	0.280434237631979	0.826262708217593	0.0846288981203895	0.825542577764299
ENSG00000138768.15	0.139812866985013	0.163538475226979	0.318170930425183	0.280452572208468	-0.370334167188182	0.539487318172544	0.96385761720959
ENSG00000088986.11	-0.027474970930625	0.0311740916066984	0.292700382635708	0.280461415154245	0.301097682504459	0.622504668724217	0.96955662479424
ENSG00000291223.1	2.22044604925031e-17	0	0.450212980109272	0.280493514757581	NA	NA	NA
ENSG00000013503.10	0.108716257791653	0.224705957862853	0.330290069925057	0.280503239366107	-0.886971378373255	0.0448345596088523	0.762824920790688
ENSG00000204568.12	-0.0398147105876499	-0.0523376899131895	0.32683429440518	0.280620155566473	0.470869761656064	0.423426835646987	0.952813255623245
ENSG00000179941.9	0.0221647995637056	0.0132053419415638	0.371652373967583	0.280620965676828	0.365194208837551	0.545573070018832	0.96385761720959
ENSG00000079134.13	0.100242072024321	0.285938621761212	0.361581780179659	0.280622612356505	-0.762715997509061	0.133702851692557	0.85814790836338
ENSG00000168092.14	0.0255087046106826	0.0673335173605381	0.30481035249054	0.280642802819287	-0.330891755766886	0.586515072489981	0.966444630581846
ENSG00000184634.17	-0.00860749399132941	0	0.305577444508617	0.280733646967964	-0.400641944354476	0.50388257736374	0.959385038661682
ENSG00000166233.15	0.0176371132810908	0.0195594781730843	0.309027723435288	0.28077304354745	-0.019476333518681	0.97520352983002	0.998335428404028
ENSG00000083312.19	0.160695089388507	0.172781885675109	0.303832976559973	0.280779389849241	-0.391622521361714	0.514426956273421	0.961210132937146
ENSG00000196419.13	-0.00049070581072661	-0.0603987451830812	0.334071310298692	0.280784631187101	0.653315500332952	0.231872811718955	0.904979555593895
ENSG00000148943.12	0.0551270287651381	0.0372236147061599	0.330007457899815	0.280815819854194	0.522814045732638	0.366041362556372	0.946565753394284
ENSG00000114742.14	0.110763588482344	0.267015266001724	0.392367426018806	0.280832138838216	-0.7236034490806	0.167013887388334	0.873834300310468
ENSG00000174243.11	-0.0181719270184777	-0.0206451487696935	0.314276751013753	0.280843593512452	-0.0593597394857552	0.924465240667373	0.994074640323904
ENSG00000003056.8	0.0534099752538181	0.0372668671602078	0.33733053908733	0.28089603761453	0.469815252114624	0.424611696677015	0.952971422182406
ENSG00000204599.16	-0.02450169093381	-0.0322464825431796	0.305184744246867	0.280904483905314	0.466328562766481	0.428534740328916	0.954662811136852
ENSG00000244038.11	-0.00155328487144213	0	0.310373136127048	0.280989016662863	NA	NA	NA
ENSG00000169612.4	-0.00236288684447357	0	0.31111229602459	0.2810121940825	-0.315684934619194	0.60483705271807	0.96775662954152
ENSG00000138668.20	0.0907115035681928	0.361400817350389	0.324010447459578	0.28101785746157	-0.0774237859735063	0.901519550461802	0.993498979901037
ENSG00000162961.14	-0.00631425018021474	0	0.34428247110026	0.28104632778745	0.106191081429299	0.865047858117507	0.988181604209531
ENSG00000136816.16	0.0530774735026146	0.0608695144963406	0.306392704208085	0.28112083029197	0.106720762053275	0.864377280197877	0.988181604209531
ENSG00000109536.12	-0.0332717104120924	-0.0986000265261402	0.307357366745298	0.281130896489924	0.500763571142711	0.390160475730096	0.950378126064129
ENSG00000171155.8	-0.0131432429233546	0.0360387909705127	0.35881060302785	0.281136837807454	-0.765174223068171	0.131683182449856	0.855265882726085
ENSG00000086232.13	0.080949872579585	0.0536570176718457	0.297159858578473	0.28116655725738	0.112168043132655	0.85748325852254	0.986936434873111
ENSG00000157045.9	-0.040107356391235	0	0.388362975418277	0.28117163552112	-0.366307929615637	0.544253288455113	0.96385761720959
ENSG00000116857.17	0.057916336205608	0.034122618646596	0.403221056790816	0.281176176985185	-0.407965653758779	0.495353878390398	0.959385038661682
ENSG00000131115.16	0.018485657388686	0.0783969099790227	0.307023533361099	0.281196045324105	-0.602238583189687	0.282479175106996	0.918367481870201
ENSG00000151657.12	0.00709799781034752	0.0274184885263744	0.324875472220526	0.281206511787096	0.195131483834313	0.753136678580813	0.976691544404078
ENSG00000111300.10	0.0862225274732714	0.115118476898049	0.319478550503568	0.281208349910087	-0.945114856791491	0.0153076299584241	0.632203740792208
ENSG00000169016.17	-0.0299982160497702	0.0301835914622054	0.313625320855745	0.28128647614992	-0.885471497130628	0.0457192527651196	0.762824920790688
ENSG00000144161.14	-0.0213252419902971	0	0.320865986677405	0.281346285568198	-0.248185793067741	0.687274752523399	0.973208086672461
ENSG00000115761.17	-0.00580482870752217	0	0.316069621535854	0.281349686519973	NA	NA	NA
